EPOCH:: 1, Validation cost: 111.7544, Validation F1: 0.5926, Time: 69.9167 
EPOCH:: 2, Validation cost: 92.2821, Validation F1: 0.6696, Time: 68.8966 
EPOCH:: 3, Validation cost: 70.2174, Validation F1: 0.7567, Time: 68.9263 
EPOCH:: 4, Validation cost: 60.5396, Validation F1: 0.7911, Time: 68.9143 
EPOCH:: 5, Validation cost: 58.2722, Validation F1: 0.7950, Time: 68.9334 
EPOCH:: 6, Validation cost: 60.2932, Validation F1: 0.7992, Time: 68.8926 
EPOCH:: 7, Validation cost: 55.7900, Validation F1: 0.8216, Time: 68.9253 
EPOCH:: 8, Validation cost: 53.3056, Validation F1: 0.8257, Time: 68.9013 
EPOCH:: 9, Validation cost: 56.8086, Validation F1: 0.8228, Time: 68.9380 
EPOCH:: 10, Validation cost: 57.1661, Validation F1: 0.8319, Time: 68.9106 
EPOCH:: 11, Validation cost: 59.7578, Validation F1: 0.8345, Time: 68.8984 
EPOCH:: 12, Validation cost: 63.0002, Validation F1: 0.8316, Time: 68.9228 
EPOCH:: 13, Validation cost: 66.0917, Validation F1: 0.8263, Time: 68.9175 
EPOCH:: 14, Validation cost: 68.1037, Validation F1: 0.8323, Time: 68.9262 
EPOCH:: 15, Validation cost: 69.1158, Validation F1: 0.8315, Time: 68.9010 
EPOCH:: 16, Validation cost: 71.0781, Validation F1: 0.8433, Time: 68.8875 
EPOCH:: 17, Validation cost: 68.5948, Validation F1: 0.8409, Time: 68.9344 
EPOCH:: 18, Validation cost: 76.8907, Validation F1: 0.8245, Time: 68.9277 
EPOCH:: 19, Validation cost: 74.4332, Validation F1: 0.8369, Time: 68.9039 
EPOCH:: 20, Validation cost: 69.5807, Validation F1: 0.8372, Time: 68.9488 
EPOCH:: 21, Validation cost: 76.1500, Validation F1: 0.8363, Time: 68.9552 
EPOCH:: 22, Validation cost: 75.2335, Validation F1: 0.8446, Time: 68.9258 
EPOCH:: 23, Validation cost: 80.2245, Validation F1: 0.8340, Time: 68.9080 
EPOCH:: 24, Validation cost: 79.0112, Validation F1: 0.8329, Time: 68.9380 
EPOCH:: 25, Validation cost: 79.9386, Validation F1: 0.8395, Time: 68.9446 
EPOCH:: 26, Validation cost: 79.2062, Validation F1: 0.8387, Time: 68.9492 
EPOCH:: 27, Validation cost: 81.3396, Validation F1: 0.8315, Time: 68.9569 
EPOCH:: 28, Validation cost: 80.6937, Validation F1: 0.8363, Time: 68.9661 
EPOCH:: 29, Validation cost: 82.0159, Validation F1: 0.8373, Time: 68.9391 
EPOCH:: 30, Validation cost: 81.1986, Validation F1: 0.8393, Time: 68.9308 
EPOCH:: 31, Validation cost: 78.1772, Validation F1: 0.8451, Time: 68.9589 
EPOCH:: 32, Validation cost: 83.3326, Validation F1: 0.8428, Time: 68.9492 
EPOCH:: 33, Validation cost: 91.1747, Validation F1: 0.8371, Time: 68.9538 
EPOCH:: 34, Validation cost: 80.4840, Validation F1: 0.8441, Time: 68.9342 
EPOCH:: 35, Validation cost: 88.2965, Validation F1: 0.8292, Time: 69.0101 
EPOCH:: 36, Validation cost: 83.4378, Validation F1: 0.8419, Time: 68.9752 
EPOCH:: 37, Validation cost: 90.1332, Validation F1: 0.8373, Time: 68.9317 
EPOCH:: 38, Validation cost: 86.4937, Validation F1: 0.8384, Time: 68.9641 
EPOCH:: 39, Validation cost: 83.2871, Validation F1: 0.8471, Time: 68.9370 
EPOCH:: 40, Validation cost: 83.3204, Validation F1: 0.8481, Time: 68.9092 
EPOCH:: 41, Validation cost: 93.1666, Validation F1: 0.8380, Time: 68.8944 
EPOCH:: 42, Validation cost: 83.2873, Validation F1: 0.8499, Time: 68.9307 
EPOCH:: 43, Validation cost: 92.5081, Validation F1: 0.8425, Time: 68.9946 
EPOCH:: 44, Validation cost: 90.3399, Validation F1: 0.8425, Time: 68.9462 
EPOCH:: 45, Validation cost: 89.1939, Validation F1: 0.8478, Time: 69.0163 
EPOCH:: 46, Validation cost: 86.7983, Validation F1: 0.8451, Time: 68.9680 
EPOCH:: 47, Validation cost: 90.7336, Validation F1: 0.8408, Time: 68.9033 
EPOCH:: 48, Validation cost: 95.0393, Validation F1: 0.8365, Time: 68.9978 
EPOCH:: 49, Validation cost: 86.0214, Validation F1: 0.8460, Time: 68.9553 
EPOCH:: 50, Validation cost: 90.1141, Validation F1: 0.8439, Time: 69.0044 
EPOCH:: 51, Validation cost: 90.3431, Validation F1: 0.8493, Time: 68.9853 
EPOCH:: 52, Validation cost: 96.7784, Validation F1: 0.8316, Time: 68.9690 
EPOCH:: 53, Validation cost: 92.1937, Validation F1: 0.8424, Time: 68.9605 
EPOCH:: 54, Validation cost: 95.6018, Validation F1: 0.8420, Time: 68.9577 
EPOCH:: 55, Validation cost: 92.1068, Validation F1: 0.8436, Time: 68.9464 
EPOCH:: 56, Validation cost: 99.1727, Validation F1: 0.8409, Time: 69.0045 
EPOCH:: 57, Validation cost: 103.3135, Validation F1: 0.8376, Time: 68.9721 
EPOCH:: 58, Validation cost: 95.9653, Validation F1: 0.8412, Time: 68.9672 
EPOCH:: 59, Validation cost: 98.4082, Validation F1: 0.8400, Time: 68.9183 
EPOCH:: 60, Validation cost: 90.4525, Validation F1: 0.8489, Time: 68.9842 
EPOCH:: 61, Validation cost: 98.0825, Validation F1: 0.8440, Time: 68.9737 
EPOCH:: 62, Validation cost: 87.6220, Validation F1: 0.8511, Time: 68.9537 
EPOCH:: 63, Validation cost: 99.2624, Validation F1: 0.8467, Time: 68.9368 
EPOCH:: 64, Validation cost: 98.1301, Validation F1: 0.8396, Time: 68.9384 
EPOCH:: 65, Validation cost: 99.9252, Validation F1: 0.8481, Time: 68.9735 
EPOCH:: 66, Validation cost: 94.2255, Validation F1: 0.8422, Time: 68.9273 
EPOCH:: 67, Validation cost: 89.8648, Validation F1: 0.8461, Time: 68.9642 
EPOCH:: 68, Validation cost: 90.7993, Validation F1: 0.8554, Time: 69.0320 
EPOCH:: 69, Validation cost: 95.1687, Validation F1: 0.8476, Time: 68.9433 
EPOCH:: 70, Validation cost: 97.3658, Validation F1: 0.8439, Time: 68.9350 
EPOCH:: 71, Validation cost: 94.3421, Validation F1: 0.8495, Time: 69.0069 
EPOCH:: 72, Validation cost: 97.9201, Validation F1: 0.8444, Time: 69.0032 
EPOCH:: 73, Validation cost: 94.9938, Validation F1: 0.8461, Time: 68.9782 
EPOCH:: 74, Validation cost: 95.2172, Validation F1: 0.8443, Time: 68.9872 
EPOCH:: 75, Validation cost: 99.5967, Validation F1: 0.8466, Time: 69.0011 
EPOCH:: 76, Validation cost: 101.5803, Validation F1: 0.8492, Time: 68.9633 
EPOCH:: 77, Validation cost: 102.7430, Validation F1: 0.8427, Time: 68.9553 
EPOCH:: 78, Validation cost: 109.5298, Validation F1: 0.8353, Time: 68.9645 
EPOCH:: 79, Validation cost: 105.1720, Validation F1: 0.8398, Time: 68.9574 
EPOCH:: 80, Validation cost: 101.1964, Validation F1: 0.8452, Time: 68.9928 
EPOCH:: 81, Validation cost: 104.2176, Validation F1: 0.8391, Time: 68.9866 
EPOCH:: 82, Validation cost: 104.4110, Validation F1: 0.8418, Time: 68.9756 
EPOCH:: 83, Validation cost: 94.4846, Validation F1: 0.8562, Time: 69.0118 
EPOCH:: 84, Validation cost: 100.2548, Validation F1: 0.8504, Time: 68.9202 
EPOCH:: 85, Validation cost: 103.9884, Validation F1: 0.8446, Time: 68.9926 
EPOCH:: 86, Validation cost: 99.1468, Validation F1: 0.8488, Time: 68.9446 
EPOCH:: 87, Validation cost: 93.9003, Validation F1: 0.8565, Time: 68.9557 
EPOCH:: 88, Validation cost: 110.1505, Validation F1: 0.8415, Time: 68.9622 
EPOCH:: 89, Validation cost: 95.1911, Validation F1: 0.8450, Time: 68.9912 
EPOCH:: 90, Validation cost: 96.3950, Validation F1: 0.8501, Time: 68.9819 
EPOCH:: 91, Validation cost: 106.5085, Validation F1: 0.8425, Time: 68.9735 
EPOCH:: 92, Validation cost: 96.8778, Validation F1: 0.8528, Time: 68.9721 
EPOCH:: 93, Validation cost: 99.7965, Validation F1: 0.8475, Time: 68.9942 
EPOCH:: 94, Validation cost: 96.5989, Validation F1: 0.8511, Time: 68.9414 
EPOCH:: 95, Validation cost: 96.6986, Validation F1: 0.8522, Time: 68.9881 
EPOCH:: 96, Validation cost: 110.3094, Validation F1: 0.8415, Time: 68.9559 
EPOCH:: 97, Validation cost: 93.3355, Validation F1: 0.8509, Time: 69.0064 
EPOCH:: 98, Validation cost: 102.2733, Validation F1: 0.8453, Time: 69.0113 
EPOCH:: 99, Validation cost: 98.2020, Validation F1: 0.8524, Time: 68.9732 
EPOCH:: 100, Validation cost: 111.9689, Validation F1: 0.8349, Time: 68.9884 
