EPOCH:: 1, Validation cost: 92.7123, Validation F1: 0.6654 
EPOCH:: 2, Validation cost: 82.6738, Validation F1: 0.6962 
EPOCH:: 3, Validation cost: 63.8851, Validation F1: 0.7781 
EPOCH:: 4, Validation cost: 59.1238, Validation F1: 0.7910 
EPOCH:: 5, Validation cost: 61.2400, Validation F1: 0.7850 
EPOCH:: 6, Validation cost: 59.3568, Validation F1: 0.7989 
EPOCH:: 7, Validation cost: 59.9048, Validation F1: 0.8094 
EPOCH:: 8, Validation cost: 68.6727, Validation F1: 0.7957 
EPOCH:: 9, Validation cost: 70.8618, Validation F1: 0.8031 
EPOCH:: 10, Validation cost: 70.4492, Validation F1: 0.8050 
EPOCH:: 11, Validation cost: 72.4930, Validation F1: 0.8095 
EPOCH:: 12, Validation cost: 76.3824, Validation F1: 0.8087 
EPOCH:: 13, Validation cost: 79.2701, Validation F1: 0.8041 
EPOCH:: 14, Validation cost: 80.8478, Validation F1: 0.8130 
EPOCH:: 15, Validation cost: 87.5670, Validation F1: 0.8007 
EPOCH:: 16, Validation cost: 86.6038, Validation F1: 0.8030 
EPOCH:: 17, Validation cost: 89.4602, Validation F1: 0.8057 
EPOCH:: 18, Validation cost: 94.4641, Validation F1: 0.7943 
EPOCH:: 19, Validation cost: 82.3803, Validation F1: 0.8171 
EPOCH:: 20, Validation cost: 87.7262, Validation F1: 0.8108 
EPOCH:: 21, Validation cost: 88.5288, Validation F1: 0.8130 
EPOCH:: 22, Validation cost: 92.9307, Validation F1: 0.8095 
EPOCH:: 23, Validation cost: 101.0746, Validation F1: 0.7954 
EPOCH:: 24, Validation cost: 93.6732, Validation F1: 0.8087 
EPOCH:: 25, Validation cost: 94.5056, Validation F1: 0.8059 
EPOCH:: 26, Validation cost: 93.5310, Validation F1: 0.8107 
EPOCH:: 27, Validation cost: 98.5140, Validation F1: 0.8126 
EPOCH:: 28, Validation cost: 99.4931, Validation F1: 0.7994 
EPOCH:: 29, Validation cost: 97.3981, Validation F1: 0.8147 
EPOCH:: 30, Validation cost: 98.2275, Validation F1: 0.8202 
