EPOCH:: 1, Validation cost: 102.7456, Validation F1: 0.6207, Time: 64.7978 
EPOCH:: 2, Validation cost: 86.9653, Validation F1: 0.6936, Time: 64.2737 
EPOCH:: 3, Validation cost: 67.5955, Validation F1: 0.7612, Time: 64.3332 
EPOCH:: 4, Validation cost: 63.3346, Validation F1: 0.7803, Time: 64.2762 
EPOCH:: 5, Validation cost: 61.8790, Validation F1: 0.7890, Time: 64.2760 
EPOCH:: 6, Validation cost: 62.5400, Validation F1: 0.7990, Time: 64.3075 
EPOCH:: 7, Validation cost: 62.0566, Validation F1: 0.8072, Time: 64.2630 
EPOCH:: 8, Validation cost: 61.5619, Validation F1: 0.8125, Time: 64.2962 
EPOCH:: 9, Validation cost: 63.8612, Validation F1: 0.8124, Time: 64.3467 
EPOCH:: 10, Validation cost: 65.6732, Validation F1: 0.8142, Time: 64.2722 
EPOCH:: 11, Validation cost: 73.6604, Validation F1: 0.8077, Time: 64.3424 
EPOCH:: 12, Validation cost: 74.1246, Validation F1: 0.8098, Time: 64.3902 
EPOCH:: 13, Validation cost: 74.1066, Validation F1: 0.8094, Time: 64.3775 
EPOCH:: 14, Validation cost: 77.4659, Validation F1: 0.8099, Time: 64.3978 
EPOCH:: 15, Validation cost: 82.5961, Validation F1: 0.8107, Time: 64.3609 
EPOCH:: 16, Validation cost: 80.5341, Validation F1: 0.8139, Time: 64.3839 
EPOCH:: 17, Validation cost: 83.2322, Validation F1: 0.8090, Time: 64.3869 
EPOCH:: 18, Validation cost: 91.6146, Validation F1: 0.8034, Time: 64.4005 
EPOCH:: 19, Validation cost: 83.7642, Validation F1: 0.8193, Time: 64.3842 
EPOCH:: 20, Validation cost: 88.0486, Validation F1: 0.8147, Time: 64.4088 
EPOCH:: 21, Validation cost: 82.1793, Validation F1: 0.8260, Time: 64.4229 
EPOCH:: 22, Validation cost: 83.2749, Validation F1: 0.8234, Time: 64.4621 
EPOCH:: 23, Validation cost: 86.0384, Validation F1: 0.8212, Time: 64.4869 
EPOCH:: 24, Validation cost: 91.0459, Validation F1: 0.8205, Time: 64.4631 
EPOCH:: 25, Validation cost: 88.9847, Validation F1: 0.8109, Time: 64.4490 
EPOCH:: 26, Validation cost: 84.8564, Validation F1: 0.8253, Time: 64.4026 
EPOCH:: 27, Validation cost: 90.8951, Validation F1: 0.8191, Time: 64.4403 
EPOCH:: 28, Validation cost: 86.3820, Validation F1: 0.8213, Time: 64.4788 
EPOCH:: 29, Validation cost: 92.2627, Validation F1: 0.8136, Time: 64.4891 
EPOCH:: 30, Validation cost: 90.9287, Validation F1: 0.8229, Time: 64.4131 
