EPOCH:: 1, Validation cost: 84.5399, Validation F1: 0.6969, Time: 71.2301 
EPOCH:: 2, Validation cost: 79.5865, Validation F1: 0.7166, Time: 70.1112 
EPOCH:: 3, Validation cost: 63.6917, Validation F1: 0.7761, Time: 69.9008 
EPOCH:: 4, Validation cost: 62.4895, Validation F1: 0.7850, Time: 69.9265 
EPOCH:: 5, Validation cost: 65.1400, Validation F1: 0.7902, Time: 69.8456 
EPOCH:: 6, Validation cost: 65.6411, Validation F1: 0.7988, Time: 69.9400 
EPOCH:: 7, Validation cost: 71.6208, Validation F1: 0.7963, Time: 69.9606 
EPOCH:: 8, Validation cost: 77.7434, Validation F1: 0.7922, Time: 69.9266 
EPOCH:: 9, Validation cost: 82.9309, Validation F1: 0.7936, Time: 69.9290 
EPOCH:: 10, Validation cost: 85.9268, Validation F1: 0.7887, Time: 70.0322 
EPOCH:: 11, Validation cost: 84.3527, Validation F1: 0.7937, Time: 69.9107 
EPOCH:: 12, Validation cost: 87.6570, Validation F1: 0.7919, Time: 69.9928 
EPOCH:: 13, Validation cost: 91.1471, Validation F1: 0.7942, Time: 70.1890 
EPOCH:: 14, Validation cost: 95.0958, Validation F1: 0.7928, Time: 69.9729 
EPOCH:: 15, Validation cost: 96.8568, Validation F1: 0.7952, Time: 70.0020 
EPOCH:: 16, Validation cost: 93.2106, Validation F1: 0.7981, Time: 70.1101 
EPOCH:: 17, Validation cost: 93.0940, Validation F1: 0.8007, Time: 69.9755 
EPOCH:: 18, Validation cost: 113.0337, Validation F1: 0.7773, Time: 70.0016 
EPOCH:: 19, Validation cost: 98.4831, Validation F1: 0.8039, Time: 70.8127 
EPOCH:: 20, Validation cost: 98.5928, Validation F1: 0.8016, Time: 71.2384 
EPOCH:: 21, Validation cost: 103.5765, Validation F1: 0.7945, Time: 69.9929 
EPOCH:: 22, Validation cost: 101.5355, Validation F1: 0.8011, Time: 71.4587 
EPOCH:: 23, Validation cost: 111.5752, Validation F1: 0.7950, Time: 71.5845 
EPOCH:: 24, Validation cost: 115.3964, Validation F1: 0.7900, Time: 71.1859 
EPOCH:: 25, Validation cost: 103.7649, Validation F1: 0.8072, Time: 70.0447 
EPOCH:: 26, Validation cost: 108.9464, Validation F1: 0.8027, Time: 69.9190 
EPOCH:: 27, Validation cost: 111.7375, Validation F1: 0.7987, Time: 69.9481 
EPOCH:: 28, Validation cost: 107.0349, Validation F1: 0.8026, Time: 70.0249 
EPOCH:: 29, Validation cost: 117.3732, Validation F1: 0.7943, Time: 70.0242 
EPOCH:: 30, Validation cost: 119.4361, Validation F1: 0.7898, Time: 69.9901 
