EPOCH:: 1, Validation cost: 197.9306, Validation F1: 0.2091, Time: 66.3913 
EPOCH:: 2, Validation cost: 186.6005, Validation F1: 0.2530, Time: 65.8573 
EPOCH:: 3, Validation cost: 169.3303, Validation F1: 0.3289, Time: 65.9045 
EPOCH:: 4, Validation cost: 158.6271, Validation F1: 0.3616, Time: 65.9465 
EPOCH:: 5, Validation cost: 148.6600, Validation F1: 0.4141, Time: 65.9757 
EPOCH:: 6, Validation cost: 140.7321, Validation F1: 0.4710, Time: 65.9915 
EPOCH:: 7, Validation cost: 129.9623, Validation F1: 0.4941, Time: 66.0247 
EPOCH:: 8, Validation cost: 115.4615, Validation F1: 0.5660, Time: 66.0460 
EPOCH:: 9, Validation cost: 105.8784, Validation F1: 0.6120, Time: 66.0450 
EPOCH:: 10, Validation cost: 102.7359, Validation F1: 0.6188, Time: 66.0497 
EPOCH:: 11, Validation cost: 93.5551, Validation F1: 0.6643, Time: 66.0530 
EPOCH:: 12, Validation cost: 90.7204, Validation F1: 0.6690, Time: 66.0601 
EPOCH:: 13, Validation cost: 85.6025, Validation F1: 0.6894, Time: 66.0279 
EPOCH:: 14, Validation cost: 84.7536, Validation F1: 0.6955, Time: 66.0343 
EPOCH:: 15, Validation cost: 83.6412, Validation F1: 0.7048, Time: 66.0598 
EPOCH:: 16, Validation cost: 78.6093, Validation F1: 0.7153, Time: 66.0777 
EPOCH:: 17, Validation cost: 77.2334, Validation F1: 0.7228, Time: 66.0803 
EPOCH:: 18, Validation cost: 76.6973, Validation F1: 0.7200, Time: 66.0325 
EPOCH:: 19, Validation cost: 73.4138, Validation F1: 0.7375, Time: 66.0493 
EPOCH:: 20, Validation cost: 71.9856, Validation F1: 0.7421, Time: 66.0513 
EPOCH:: 21, Validation cost: 69.9319, Validation F1: 0.7521, Time: 66.0404 
EPOCH:: 22, Validation cost: 67.4876, Validation F1: 0.7635, Time: 66.0734 
EPOCH:: 23, Validation cost: 65.8866, Validation F1: 0.7676, Time: 66.0963 
EPOCH:: 24, Validation cost: 65.3727, Validation F1: 0.7691, Time: 66.0806 
EPOCH:: 25, Validation cost: 63.4891, Validation F1: 0.7787, Time: 66.0396 
EPOCH:: 26, Validation cost: 64.1369, Validation F1: 0.7720, Time: 66.0388 
EPOCH:: 27, Validation cost: 64.0159, Validation F1: 0.7761, Time: 66.0920 
EPOCH:: 28, Validation cost: 61.3532, Validation F1: 0.7868, Time: 66.0507 
EPOCH:: 29, Validation cost: 61.0581, Validation F1: 0.7846, Time: 66.0745 
EPOCH:: 30, Validation cost: 58.1172, Validation F1: 0.7968, Time: 66.0934 
EPOCH:: 31, Validation cost: 57.8047, Validation F1: 0.7959, Time: 66.0553 
EPOCH:: 32, Validation cost: 57.1019, Validation F1: 0.7969, Time: 66.0794 
EPOCH:: 33, Validation cost: 56.7895, Validation F1: 0.8009, Time: 66.0882 
EPOCH:: 34, Validation cost: 55.3869, Validation F1: 0.8048, Time: 66.0683 
EPOCH:: 35, Validation cost: 55.2519, Validation F1: 0.8029, Time: 66.1115 
EPOCH:: 36, Validation cost: 56.0239, Validation F1: 0.8030, Time: 66.1145 
EPOCH:: 37, Validation cost: 54.1718, Validation F1: 0.8112, Time: 66.1087 
EPOCH:: 38, Validation cost: 55.0626, Validation F1: 0.8053, Time: 66.1156 
EPOCH:: 39, Validation cost: 53.1147, Validation F1: 0.8135, Time: 66.0880 
EPOCH:: 40, Validation cost: 53.3013, Validation F1: 0.8120, Time: 66.0942 
EPOCH:: 41, Validation cost: 52.2202, Validation F1: 0.8161, Time: 66.1249 
EPOCH:: 42, Validation cost: 53.4902, Validation F1: 0.8121, Time: 66.1075 
EPOCH:: 43, Validation cost: 50.3635, Validation F1: 0.8246, Time: 66.1086 
EPOCH:: 44, Validation cost: 50.1886, Validation F1: 0.8235, Time: 66.0805 
EPOCH:: 45, Validation cost: 50.7047, Validation F1: 0.8266, Time: 66.1132 
EPOCH:: 46, Validation cost: 49.7134, Validation F1: 0.8278, Time: 66.1094 
EPOCH:: 47, Validation cost: 49.9742, Validation F1: 0.8277, Time: 66.1014 
EPOCH:: 48, Validation cost: 48.4940, Validation F1: 0.8301, Time: 66.1324 
EPOCH:: 49, Validation cost: 50.4380, Validation F1: 0.8253, Time: 66.1121 
EPOCH:: 50, Validation cost: 46.4009, Validation F1: 0.8415, Time: 66.0961 
