EPOCH:: 1, Validation cost: 122.2152, Validation F1: 0.5432, Time: 32.7959 
EPOCH:: 2, Validation cost: 97.7566, Validation F1: 0.6454, Time: 32.1500 
EPOCH:: 3, Validation cost: 78.9651, Validation F1: 0.7228, Time: 32.2767 
EPOCH:: 4, Validation cost: 71.5064, Validation F1: 0.7499, Time: 32.3218 
EPOCH:: 5, Validation cost: 70.1412, Validation F1: 0.7493, Time: 32.3057 
EPOCH:: 6, Validation cost: 70.4578, Validation F1: 0.7623, Time: 32.3863 
EPOCH:: 7, Validation cost: 68.9281, Validation F1: 0.7745, Time: 32.3666 
EPOCH:: 8, Validation cost: 70.1605, Validation F1: 0.7767, Time: 32.4563 
EPOCH:: 9, Validation cost: 75.2019, Validation F1: 0.7674, Time: 32.4280 
EPOCH:: 10, Validation cost: 79.6132, Validation F1: 0.7699, Time: 32.4184 
EPOCH:: 11, Validation cost: 82.4801, Validation F1: 0.7724, Time: 32.4969 
EPOCH:: 12, Validation cost: 90.7521, Validation F1: 0.7668, Time: 32.5575 
EPOCH:: 13, Validation cost: 86.4494, Validation F1: 0.7796, Time: 32.4370 
EPOCH:: 14, Validation cost: 91.0207, Validation F1: 0.7766, Time: 32.4812 
EPOCH:: 15, Validation cost: 91.0510, Validation F1: 0.7785, Time: 32.3685 
EPOCH:: 16, Validation cost: 92.2339, Validation F1: 0.7776, Time: 32.3507 
EPOCH:: 17, Validation cost: 93.7606, Validation F1: 0.7781, Time: 32.3720 
EPOCH:: 18, Validation cost: 96.6624, Validation F1: 0.7710, Time: 32.3568 
EPOCH:: 19, Validation cost: 97.8417, Validation F1: 0.7782, Time: 32.3677 
EPOCH:: 20, Validation cost: 100.9111, Validation F1: 0.7781, Time: 32.3694 
EPOCH:: 21, Validation cost: 97.8214, Validation F1: 0.7857, Time: 32.3733 
EPOCH:: 22, Validation cost: 97.7329, Validation F1: 0.7865, Time: 32.3863 
EPOCH:: 23, Validation cost: 100.6157, Validation F1: 0.7852, Time: 32.3749 
EPOCH:: 24, Validation cost: 104.1414, Validation F1: 0.7790, Time: 32.3675 
EPOCH:: 25, Validation cost: 107.5352, Validation F1: 0.7745, Time: 32.3709 
EPOCH:: 26, Validation cost: 100.5679, Validation F1: 0.7890, Time: 32.3804 
EPOCH:: 27, Validation cost: 105.8137, Validation F1: 0.7951, Time: 32.3717 
EPOCH:: 28, Validation cost: 105.2092, Validation F1: 0.7901, Time: 32.3751 
EPOCH:: 29, Validation cost: 99.9031, Validation F1: 0.7941, Time: 32.3885 
EPOCH:: 30, Validation cost: 108.4471, Validation F1: 0.7841, Time: 32.3856 
