EPOCH:: 1, Validation cost: 123.8856, Validation F1: 0.5454, Time: 46.4718 
EPOCH:: 2, Validation cost: 101.6948, Validation F1: 0.6291, Time: 44.8476 
EPOCH:: 3, Validation cost: 81.6433, Validation F1: 0.7089, Time: 44.9721 
EPOCH:: 4, Validation cost: 74.5799, Validation F1: 0.7311, Time: 44.9921 
EPOCH:: 5, Validation cost: 71.0624, Validation F1: 0.7496, Time: 45.0615 
EPOCH:: 6, Validation cost: 71.1551, Validation F1: 0.7534, Time: 45.0968 
EPOCH:: 7, Validation cost: 70.8120, Validation F1: 0.7636, Time: 45.0846 
EPOCH:: 8, Validation cost: 71.8661, Validation F1: 0.7687, Time: 45.0889 
EPOCH:: 9, Validation cost: 73.1985, Validation F1: 0.7744, Time: 45.1088 
EPOCH:: 10, Validation cost: 79.7392, Validation F1: 0.7690, Time: 45.1039 
EPOCH:: 11, Validation cost: 79.5224, Validation F1: 0.7742, Time: 45.0895 
EPOCH:: 12, Validation cost: 85.9437, Validation F1: 0.7691, Time: 45.0845 
EPOCH:: 13, Validation cost: 84.0432, Validation F1: 0.7852, Time: 45.0963 
EPOCH:: 14, Validation cost: 86.2965, Validation F1: 0.7752, Time: 45.1052 
EPOCH:: 15, Validation cost: 89.5692, Validation F1: 0.7764, Time: 45.1093 
EPOCH:: 16, Validation cost: 90.9857, Validation F1: 0.7809, Time: 45.0750 
EPOCH:: 17, Validation cost: 87.6359, Validation F1: 0.7890, Time: 45.0992 
EPOCH:: 18, Validation cost: 98.7857, Validation F1: 0.7739, Time: 45.1046 
EPOCH:: 19, Validation cost: 89.7689, Validation F1: 0.7844, Time: 45.1270 
EPOCH:: 20, Validation cost: 93.2577, Validation F1: 0.7810, Time: 45.1408 
EPOCH:: 21, Validation cost: 95.4527, Validation F1: 0.7931, Time: 45.0954 
EPOCH:: 22, Validation cost: 96.2978, Validation F1: 0.7856, Time: 45.1094 
EPOCH:: 23, Validation cost: 96.3798, Validation F1: 0.7898, Time: 45.1134 
EPOCH:: 24, Validation cost: 99.8303, Validation F1: 0.7855, Time: 45.1555 
EPOCH:: 25, Validation cost: 104.3433, Validation F1: 0.7805, Time: 45.1157 
EPOCH:: 26, Validation cost: 96.4039, Validation F1: 0.7881, Time: 45.1224 
EPOCH:: 27, Validation cost: 99.2002, Validation F1: 0.7897, Time: 45.1132 
EPOCH:: 28, Validation cost: 96.0204, Validation F1: 0.7980, Time: 45.1334 
EPOCH:: 29, Validation cost: 104.7177, Validation F1: 0.7919, Time: 45.1401 
EPOCH:: 30, Validation cost: 103.3862, Validation F1: 0.7880, Time: 45.1246 
