EPOCH:: 1, Validation cost: 175.6138, Validation F1: 0.3284 
EPOCH:: 2, Validation cost: 157.6391, Validation F1: 0.4136 
EPOCH:: 3, Validation cost: 142.5008, Validation F1: 0.4824 
EPOCH:: 4, Validation cost: 134.0468, Validation F1: 0.5108 
EPOCH:: 5, Validation cost: 124.2698, Validation F1: 0.5391 
EPOCH:: 6, Validation cost: 120.5232, Validation F1: 0.5678 
EPOCH:: 7, Validation cost: 111.0149, Validation F1: 0.6012 
EPOCH:: 8, Validation cost: 108.1150, Validation F1: 0.6086 
EPOCH:: 9, Validation cost: 103.6638, Validation F1: 0.6309 
EPOCH:: 10, Validation cost: 102.2544, Validation F1: 0.6330 
EPOCH:: 11, Validation cost: 101.7208, Validation F1: 0.6452 
EPOCH:: 12, Validation cost: 96.6287, Validation F1: 0.6569 
EPOCH:: 13, Validation cost: 99.9612, Validation F1: 0.6584 
EPOCH:: 14, Validation cost: 100.4601, Validation F1: 0.6628 
EPOCH:: 15, Validation cost: 98.3662, Validation F1: 0.6733 
EPOCH:: 16, Validation cost: 102.4532, Validation F1: 0.6636 
EPOCH:: 17, Validation cost: 103.3879, Validation F1: 0.6727 
EPOCH:: 18, Validation cost: 105.4647, Validation F1: 0.6767 
EPOCH:: 19, Validation cost: 105.4389, Validation F1: 0.6861 
EPOCH:: 20, Validation cost: 110.9034, Validation F1: 0.6833 
EPOCH:: 21, Validation cost: 115.6844, Validation F1: 0.6706 
EPOCH:: 22, Validation cost: 118.4705, Validation F1: 0.6822 
EPOCH:: 23, Validation cost: 121.3166, Validation F1: 0.6804 
EPOCH:: 24, Validation cost: 122.6983, Validation F1: 0.6826 
EPOCH:: 25, Validation cost: 124.7409, Validation F1: 0.6839 
EPOCH:: 26, Validation cost: 130.8663, Validation F1: 0.6809 
EPOCH:: 27, Validation cost: 131.5782, Validation F1: 0.6806 
EPOCH:: 28, Validation cost: 132.9052, Validation F1: 0.6814 
EPOCH:: 29, Validation cost: 139.3564, Validation F1: 0.6857 
EPOCH:: 30, Validation cost: 136.4267, Validation F1: 0.6932 
