EPOCH:: 1, Validation cost: 161.7052, Validation F1: 0.3966, Time: 51.0399 
EPOCH:: 2, Validation cost: 146.3074, Validation F1: 0.4588, Time: 49.2899 
EPOCH:: 3, Validation cost: 127.8934, Validation F1: 0.5296, Time: 49.3312 
EPOCH:: 4, Validation cost: 119.2560, Validation F1: 0.5576, Time: 49.3638 
EPOCH:: 5, Validation cost: 108.1726, Validation F1: 0.6077, Time: 49.3700 
EPOCH:: 6, Validation cost: 104.6026, Validation F1: 0.6180, Time: 49.3608 
EPOCH:: 7, Validation cost: 100.9405, Validation F1: 0.6406, Time: 49.3672 
EPOCH:: 8, Validation cost: 97.4294, Validation F1: 0.6473, Time: 49.3990 
EPOCH:: 9, Validation cost: 95.1556, Validation F1: 0.6688, Time: 49.3699 
EPOCH:: 10, Validation cost: 96.0162, Validation F1: 0.6698, Time: 49.3884 
EPOCH:: 11, Validation cost: 99.5475, Validation F1: 0.6709, Time: 49.3739 
EPOCH:: 12, Validation cost: 96.5617, Validation F1: 0.6764, Time: 49.3780 
EPOCH:: 13, Validation cost: 96.7731, Validation F1: 0.6939, Time: 49.3989 
EPOCH:: 14, Validation cost: 100.8860, Validation F1: 0.6862, Time: 49.3948 
EPOCH:: 15, Validation cost: 105.9682, Validation F1: 0.6815, Time: 49.3910 
EPOCH:: 16, Validation cost: 111.1436, Validation F1: 0.6818, Time: 49.3701 
EPOCH:: 17, Validation cost: 110.2226, Validation F1: 0.6887, Time: 49.3917 
EPOCH:: 18, Validation cost: 116.9518, Validation F1: 0.6828, Time: 49.3634 
EPOCH:: 19, Validation cost: 115.1724, Validation F1: 0.6864, Time: 49.3734 
EPOCH:: 20, Validation cost: 117.5494, Validation F1: 0.6909, Time: 49.3693 
EPOCH:: 21, Validation cost: 122.9565, Validation F1: 0.6931, Time: 49.4088 
EPOCH:: 22, Validation cost: 122.6985, Validation F1: 0.6974, Time: 49.3835 
EPOCH:: 23, Validation cost: 128.4527, Validation F1: 0.6881, Time: 49.3954 
EPOCH:: 24, Validation cost: 127.5851, Validation F1: 0.6976, Time: 49.3779 
EPOCH:: 25, Validation cost: 131.2724, Validation F1: 0.6908, Time: 49.4021 
EPOCH:: 26, Validation cost: 131.0107, Validation F1: 0.6948, Time: 49.3742 
EPOCH:: 27, Validation cost: 132.3802, Validation F1: 0.6981, Time: 49.3938 
EPOCH:: 28, Validation cost: 136.0294, Validation F1: 0.7045, Time: 49.3706 
EPOCH:: 29, Validation cost: 135.5995, Validation F1: 0.6944, Time: 49.3858 
EPOCH:: 30, Validation cost: 138.5734, Validation F1: 0.6981, Time: 49.4024 
