EPOCH:: 1, Validation cost: 152.7750, Validation F1: 0.4337, Time: 73.6423 
EPOCH:: 2, Validation cost: 137.0684, Validation F1: 0.4911, Time: 72.9736 
EPOCH:: 3, Validation cost: 119.1383, Validation F1: 0.5620, Time: 73.0233 
EPOCH:: 4, Validation cost: 108.8068, Validation F1: 0.6058, Time: 73.1272 
EPOCH:: 5, Validation cost: 95.9916, Validation F1: 0.6554, Time: 73.1244 
EPOCH:: 6, Validation cost: 93.0864, Validation F1: 0.6739, Time: 73.1341 
EPOCH:: 7, Validation cost: 87.4684, Validation F1: 0.6922, Time: 73.1332 
EPOCH:: 8, Validation cost: 87.9284, Validation F1: 0.7017, Time: 73.1384 
EPOCH:: 9, Validation cost: 85.1292, Validation F1: 0.7183, Time: 73.1263 
EPOCH:: 10, Validation cost: 85.7750, Validation F1: 0.7186, Time: 73.1466 
EPOCH:: 11, Validation cost: 88.1076, Validation F1: 0.7245, Time: 73.1386 
EPOCH:: 12, Validation cost: 92.1317, Validation F1: 0.7252, Time: 73.1333 
EPOCH:: 13, Validation cost: 93.6834, Validation F1: 0.7297, Time: 73.1239 
EPOCH:: 14, Validation cost: 96.5888, Validation F1: 0.7354, Time: 73.1532 
EPOCH:: 15, Validation cost: 103.9329, Validation F1: 0.7312, Time: 73.1190 
EPOCH:: 16, Validation cost: 102.0269, Validation F1: 0.7351, Time: 73.1454 
EPOCH:: 17, Validation cost: 98.9248, Validation F1: 0.7439, Time: 73.1589 
EPOCH:: 18, Validation cost: 111.8008, Validation F1: 0.7290, Time: 73.1576 
EPOCH:: 19, Validation cost: 107.5876, Validation F1: 0.7470, Time: 73.1737 
EPOCH:: 20, Validation cost: 111.8421, Validation F1: 0.7341, Time: 73.1776 
EPOCH:: 21, Validation cost: 115.5539, Validation F1: 0.7392, Time: 73.1622 
EPOCH:: 22, Validation cost: 112.5857, Validation F1: 0.7508, Time: 73.1512 
EPOCH:: 23, Validation cost: 117.4237, Validation F1: 0.7490, Time: 73.1455 
EPOCH:: 24, Validation cost: 115.3210, Validation F1: 0.7500, Time: 73.1818 
EPOCH:: 25, Validation cost: 114.7050, Validation F1: 0.7522, Time: 73.1979 
EPOCH:: 26, Validation cost: 116.1127, Validation F1: 0.7502, Time: 73.1569 
EPOCH:: 27, Validation cost: 119.6276, Validation F1: 0.7540, Time: 73.1666 
EPOCH:: 28, Validation cost: 121.8228, Validation F1: 0.7490, Time: 73.1530 
EPOCH:: 29, Validation cost: 119.9991, Validation F1: 0.7556, Time: 73.1949 
EPOCH:: 30, Validation cost: 120.5587, Validation F1: 0.7582, Time: 73.1607 
