EPOCH:: 1, Validation cost: 218.5940, Validation F1: 0.2390 
EPOCH:: 2, Validation cost: 179.7408, Validation F1: 0.3304 
EPOCH:: 3, Validation cost: 143.5665, Validation F1: 0.4671 
EPOCH:: 4, Validation cost: 134.5491, Validation F1: 0.4946 
EPOCH:: 5, Validation cost: 123.9573, Validation F1: 0.5452 
EPOCH:: 6, Validation cost: 116.6526, Validation F1: 0.5831 
EPOCH:: 7, Validation cost: 103.6011, Validation F1: 0.6205 
EPOCH:: 8, Validation cost: 96.5835, Validation F1: 0.6555 
EPOCH:: 9, Validation cost: 88.8393, Validation F1: 0.6830 
EPOCH:: 10, Validation cost: 86.9207, Validation F1: 0.6942 
EPOCH:: 11, Validation cost: 87.0868, Validation F1: 0.7042 
EPOCH:: 12, Validation cost: 80.3399, Validation F1: 0.7180 
EPOCH:: 13, Validation cost: 78.0873, Validation F1: 0.7279 
EPOCH:: 14, Validation cost: 76.0711, Validation F1: 0.7421 
EPOCH:: 15, Validation cost: 80.5513, Validation F1: 0.7409 
EPOCH:: 16, Validation cost: 80.5185, Validation F1: 0.7377 
EPOCH:: 17, Validation cost: 80.0369, Validation F1: 0.7522 
EPOCH:: 18, Validation cost: 83.6112, Validation F1: 0.7433 
EPOCH:: 19, Validation cost: 85.3895, Validation F1: 0.7494 
EPOCH:: 20, Validation cost: 89.4063, Validation F1: 0.7477 
EPOCH:: 21, Validation cost: 93.4039, Validation F1: 0.7449 
EPOCH:: 22, Validation cost: 95.4907, Validation F1: 0.7540 
EPOCH:: 23, Validation cost: 98.7813, Validation F1: 0.7553 
EPOCH:: 24, Validation cost: 96.5928, Validation F1: 0.7583 
EPOCH:: 25, Validation cost: 102.1405, Validation F1: 0.7510 
EPOCH:: 26, Validation cost: 106.8446, Validation F1: 0.7483 
EPOCH:: 27, Validation cost: 102.4627, Validation F1: 0.7469 
EPOCH:: 28, Validation cost: 102.5743, Validation F1: 0.7508 
EPOCH:: 29, Validation cost: 108.4668, Validation F1: 0.7602 
EPOCH:: 30, Validation cost: 108.0395, Validation F1: 0.7572 
