EPOCH:: 1, Validation cost: 164.4489, Validation F1: 0.3595, Time: 69.6909 
EPOCH:: 2, Validation cost: 152.4064, Validation F1: 0.4082, Time: 68.6712 
EPOCH:: 3, Validation cost: 130.3452, Validation F1: 0.5175, Time: 68.7165 
EPOCH:: 4, Validation cost: 116.0157, Validation F1: 0.5655, Time: 68.6480 
EPOCH:: 5, Validation cost: 105.9227, Validation F1: 0.6137, Time: 68.6534 
EPOCH:: 6, Validation cost: 95.4956, Validation F1: 0.6557, Time: 68.6741 
EPOCH:: 7, Validation cost: 92.7828, Validation F1: 0.6625, Time: 68.6715 
EPOCH:: 8, Validation cost: 87.8164, Validation F1: 0.6809, Time: 68.7010 
EPOCH:: 9, Validation cost: 84.5007, Validation F1: 0.6950, Time: 68.6857 
EPOCH:: 10, Validation cost: 80.7863, Validation F1: 0.7074, Time: 68.6747 
EPOCH:: 11, Validation cost: 76.7253, Validation F1: 0.7277, Time: 68.7050 
EPOCH:: 12, Validation cost: 74.5696, Validation F1: 0.7291, Time: 68.7227 
EPOCH:: 13, Validation cost: 71.3224, Validation F1: 0.7427, Time: 68.6864 
EPOCH:: 14, Validation cost: 68.6742, Validation F1: 0.7561, Time: 68.7114 
EPOCH:: 15, Validation cost: 66.4145, Validation F1: 0.7671, Time: 68.7141 
EPOCH:: 16, Validation cost: 63.7695, Validation F1: 0.7699, Time: 68.7161 
EPOCH:: 17, Validation cost: 60.6434, Validation F1: 0.7839, Time: 68.7085 
EPOCH:: 18, Validation cost: 61.4161, Validation F1: 0.7778, Time: 68.7194 
EPOCH:: 19, Validation cost: 57.8622, Validation F1: 0.7930, Time: 68.7333 
EPOCH:: 20, Validation cost: 59.4111, Validation F1: 0.7879, Time: 68.7161 
EPOCH:: 21, Validation cost: 54.5182, Validation F1: 0.8052, Time: 68.7182 
EPOCH:: 22, Validation cost: 53.9233, Validation F1: 0.8059, Time: 68.7075 
EPOCH:: 23, Validation cost: 52.9888, Validation F1: 0.8113, Time: 68.7566 
EPOCH:: 24, Validation cost: 52.5980, Validation F1: 0.8133, Time: 68.7431 
EPOCH:: 25, Validation cost: 52.0043, Validation F1: 0.8138, Time: 68.7256 
EPOCH:: 26, Validation cost: 50.5446, Validation F1: 0.8170, Time: 68.7482 
EPOCH:: 27, Validation cost: 50.4629, Validation F1: 0.8249, Time: 68.7117 
EPOCH:: 28, Validation cost: 48.7723, Validation F1: 0.8274, Time: 68.7104 
EPOCH:: 29, Validation cost: 49.1398, Validation F1: 0.8259, Time: 68.7040 
EPOCH:: 30, Validation cost: 46.6866, Validation F1: 0.8350, Time: 68.7276 
