EPOCH:: 1, Validation cost: 196.5359, Validation F1: 0.2053, Time: 88.8939 
EPOCH:: 2, Validation cost: 181.0163, Validation F1: 0.2885, Time: 88.2250 
EPOCH:: 3, Validation cost: 160.2480, Validation F1: 0.3663, Time: 88.3170 
EPOCH:: 4, Validation cost: 147.8364, Validation F1: 0.4203, Time: 88.3580 
EPOCH:: 5, Validation cost: 132.6543, Validation F1: 0.4980, Time: 88.3312 
EPOCH:: 6, Validation cost: 118.8377, Validation F1: 0.5624, Time: 88.3167 
EPOCH:: 7, Validation cost: 109.4362, Validation F1: 0.5958, Time: 88.3212 
EPOCH:: 8, Validation cost: 100.9661, Validation F1: 0.6257, Time: 88.3464 
EPOCH:: 9, Validation cost: 91.6157, Validation F1: 0.6693, Time: 88.3238 
EPOCH:: 10, Validation cost: 87.9273, Validation F1: 0.6841, Time: 88.3596 
EPOCH:: 11, Validation cost: 84.1886, Validation F1: 0.7028, Time: 88.3977 
EPOCH:: 12, Validation cost: 81.7244, Validation F1: 0.7098, Time: 88.3851 
EPOCH:: 13, Validation cost: 78.2795, Validation F1: 0.7196, Time: 88.3662 
EPOCH:: 14, Validation cost: 76.1112, Validation F1: 0.7284, Time: 88.4224 
EPOCH:: 15, Validation cost: 72.3817, Validation F1: 0.7428, Time: 88.4098 
EPOCH:: 16, Validation cost: 68.4426, Validation F1: 0.7584, Time: 88.3666 
EPOCH:: 17, Validation cost: 64.7780, Validation F1: 0.7690, Time: 88.3933 
EPOCH:: 18, Validation cost: 65.1132, Validation F1: 0.7644, Time: 88.4353 
EPOCH:: 19, Validation cost: 59.9560, Validation F1: 0.7858, Time: 88.4028 
EPOCH:: 20, Validation cost: 60.4269, Validation F1: 0.7879, Time: 88.3874 
EPOCH:: 21, Validation cost: 57.5060, Validation F1: 0.7980, Time: 88.4010 
EPOCH:: 22, Validation cost: 54.0556, Validation F1: 0.8094, Time: 88.4118 
EPOCH:: 23, Validation cost: 53.0078, Validation F1: 0.8150, Time: 88.4074 
EPOCH:: 24, Validation cost: 54.3637, Validation F1: 0.8078, Time: 88.4821 
EPOCH:: 25, Validation cost: 50.6599, Validation F1: 0.8206, Time: 88.4197 
EPOCH:: 26, Validation cost: 54.2201, Validation F1: 0.8168, Time: 88.4860 
EPOCH:: 27, Validation cost: 48.5244, Validation F1: 0.8312, Time: 88.4374 
EPOCH:: 28, Validation cost: 49.2327, Validation F1: 0.8313, Time: 88.4443 
EPOCH:: 29, Validation cost: 48.6823, Validation F1: 0.8346, Time: 88.4982 
EPOCH:: 30, Validation cost: 47.5306, Validation F1: 0.8364, Time: 88.4496 
