EPOCH:: 1, Validation cost: 108.6484, Validation F1: 0.6089, Time: 48.3839 
EPOCH:: 2, Validation cost: 90.6619, Validation F1: 0.6757, Time: 47.7638 
EPOCH:: 3, Validation cost: 70.3716, Validation F1: 0.7545, Time: 47.8028 
EPOCH:: 4, Validation cost: 63.3286, Validation F1: 0.7763, Time: 47.8259 
EPOCH:: 5, Validation cost: 61.9068, Validation F1: 0.7863, Time: 47.8733 
EPOCH:: 6, Validation cost: 61.5900, Validation F1: 0.7978, Time: 47.7851 
EPOCH:: 7, Validation cost: 63.0105, Validation F1: 0.7962, Time: 47.8084 
EPOCH:: 8, Validation cost: 64.0951, Validation F1: 0.7979, Time: 47.8417 
EPOCH:: 9, Validation cost: 69.8109, Validation F1: 0.7950, Time: 47.8490 
EPOCH:: 10, Validation cost: 68.6895, Validation F1: 0.8041, Time: 47.8457 
EPOCH:: 11, Validation cost: 74.4885, Validation F1: 0.8031, Time: 47.9087 
EPOCH:: 12, Validation cost: 75.0998, Validation F1: 0.7964, Time: 47.8679 
EPOCH:: 13, Validation cost: 77.5970, Validation F1: 0.7990, Time: 47.8550 
EPOCH:: 14, Validation cost: 80.6378, Validation F1: 0.8013, Time: 47.8631 
EPOCH:: 15, Validation cost: 81.0494, Validation F1: 0.7945, Time: 47.8471 
EPOCH:: 16, Validation cost: 78.9425, Validation F1: 0.8136, Time: 47.8723 
EPOCH:: 17, Validation cost: 81.6680, Validation F1: 0.8084, Time: 47.8491 
EPOCH:: 18, Validation cost: 83.5891, Validation F1: 0.8074, Time: 47.8647 
EPOCH:: 19, Validation cost: 83.6885, Validation F1: 0.8123, Time: 47.8835 
EPOCH:: 20, Validation cost: 89.1822, Validation F1: 0.8050, Time: 47.8663 
EPOCH:: 21, Validation cost: 89.3343, Validation F1: 0.8022, Time: 47.9087 
EPOCH:: 22, Validation cost: 85.4990, Validation F1: 0.8144, Time: 47.9085 
EPOCH:: 23, Validation cost: 90.2527, Validation F1: 0.8060, Time: 47.9437 
EPOCH:: 24, Validation cost: 87.4252, Validation F1: 0.8161, Time: 47.9034 
EPOCH:: 25, Validation cost: 93.9185, Validation F1: 0.8023, Time: 47.9048 
EPOCH:: 26, Validation cost: 89.6148, Validation F1: 0.8092, Time: 47.9038 
EPOCH:: 27, Validation cost: 91.7447, Validation F1: 0.8243, Time: 47.8881 
EPOCH:: 28, Validation cost: 100.1183, Validation F1: 0.8020, Time: 47.8978 
EPOCH:: 29, Validation cost: 92.9903, Validation F1: 0.8112, Time: 47.9211 
EPOCH:: 30, Validation cost: 91.0345, Validation F1: 0.8231, Time: 47.8886 
