EPOCH:: 1, Validation cost: 124.3760, Validation F1: 0.5484, Time: 57.9042 
EPOCH:: 2, Validation cost: 107.0327, Validation F1: 0.6085, Time: 57.3011 
EPOCH:: 3, Validation cost: 89.1138, Validation F1: 0.6690, Time: 57.3674 
EPOCH:: 4, Validation cost: 82.9754, Validation F1: 0.7044, Time: 57.3832 
EPOCH:: 5, Validation cost: 76.3149, Validation F1: 0.7355, Time: 57.4389 
EPOCH:: 6, Validation cost: 73.1653, Validation F1: 0.7523, Time: 57.4634 
EPOCH:: 7, Validation cost: 75.8355, Validation F1: 0.7516, Time: 57.4480 
EPOCH:: 8, Validation cost: 72.2432, Validation F1: 0.7670, Time: 57.4835 
EPOCH:: 9, Validation cost: 79.0684, Validation F1: 0.7641, Time: 57.4770 
EPOCH:: 10, Validation cost: 79.9888, Validation F1: 0.7701, Time: 57.4714 
EPOCH:: 11, Validation cost: 82.5209, Validation F1: 0.7648, Time: 57.5232 
EPOCH:: 12, Validation cost: 83.5095, Validation F1: 0.7798, Time: 57.5187 
EPOCH:: 13, Validation cost: 87.5365, Validation F1: 0.7780, Time: 57.5224 
EPOCH:: 14, Validation cost: 99.2034, Validation F1: 0.7587, Time: 57.5546 
EPOCH:: 15, Validation cost: 92.0033, Validation F1: 0.7758, Time: 57.5329 
EPOCH:: 16, Validation cost: 95.2239, Validation F1: 0.7796, Time: 57.5770 
EPOCH:: 17, Validation cost: 92.2502, Validation F1: 0.7874, Time: 57.5983 
EPOCH:: 18, Validation cost: 98.3027, Validation F1: 0.7764, Time: 57.5353 
