EPOCH:: 1, Validation cost: 157.8289, Validation F1: 0.3990, Time: 54.6021 
EPOCH:: 2, Validation cost: 145.5030, Validation F1: 0.4540, Time: 52.8851 
EPOCH:: 3, Validation cost: 126.0703, Validation F1: 0.5423, Time: 52.9498 
EPOCH:: 4, Validation cost: 118.1786, Validation F1: 0.5664, Time: 53.0382 
EPOCH:: 5, Validation cost: 107.3846, Validation F1: 0.6070, Time: 53.0461 
EPOCH:: 6, Validation cost: 100.6575, Validation F1: 0.6428, Time: 53.0320 
EPOCH:: 7, Validation cost: 95.6628, Validation F1: 0.6613, Time: 53.1155 
EPOCH:: 8, Validation cost: 90.1623, Validation F1: 0.6789, Time: 53.1145 
EPOCH:: 9, Validation cost: 88.2096, Validation F1: 0.6962, Time: 53.1434 
EPOCH:: 10, Validation cost: 88.5550, Validation F1: 0.6960, Time: 53.1306 
EPOCH:: 11, Validation cost: 89.6195, Validation F1: 0.6981, Time: 53.1765 
EPOCH:: 12, Validation cost: 90.0485, Validation F1: 0.6997, Time: 53.1765 
EPOCH:: 13, Validation cost: 90.0007, Validation F1: 0.7098, Time: 53.1893 
EPOCH:: 14, Validation cost: 90.1740, Validation F1: 0.7111, Time: 53.2031 
EPOCH:: 15, Validation cost: 92.9805, Validation F1: 0.7091, Time: 53.1507 
EPOCH:: 16, Validation cost: 99.8789, Validation F1: 0.7008, Time: 53.1661 
EPOCH:: 17, Validation cost: 101.7177, Validation F1: 0.7104, Time: 53.1795 
EPOCH:: 18, Validation cost: 103.1582, Validation F1: 0.7114, Time: 53.1531 
EPOCH:: 19, Validation cost: 103.8192, Validation F1: 0.7178, Time: 53.1454 
EPOCH:: 20, Validation cost: 108.1452, Validation F1: 0.7128, Time: 53.1501 
EPOCH:: 21, Validation cost: 112.2155, Validation F1: 0.7163, Time: 53.1594 
EPOCH:: 22, Validation cost: 114.6913, Validation F1: 0.7127, Time: 53.1337 
EPOCH:: 23, Validation cost: 120.1573, Validation F1: 0.7116, Time: 53.2171 
EPOCH:: 24, Validation cost: 120.8743, Validation F1: 0.7124, Time: 53.1565 
EPOCH:: 25, Validation cost: 126.2380, Validation F1: 0.7158, Time: 53.1497 
EPOCH:: 26, Validation cost: 126.1549, Validation F1: 0.7120, Time: 53.2283 
EPOCH:: 27, Validation cost: 121.8646, Validation F1: 0.7142, Time: 53.1939 
EPOCH:: 28, Validation cost: 128.1723, Validation F1: 0.7141, Time: 53.1838 
EPOCH:: 29, Validation cost: 126.1510, Validation F1: 0.7185, Time: 53.1964 
EPOCH:: 30, Validation cost: 127.1279, Validation F1: 0.7218, Time: 53.1965 
