EPOCH:: 1, Validation cost: 152.8183, Validation F1: 0.4325, Time: 47.4864 
EPOCH:: 2, Validation cost: 141.1032, Validation F1: 0.4799, Time: 46.5737 
EPOCH:: 3, Validation cost: 123.8443, Validation F1: 0.5392, Time: 46.7505 
EPOCH:: 4, Validation cost: 117.1461, Validation F1: 0.5712, Time: 46.7930 
EPOCH:: 5, Validation cost: 106.1188, Validation F1: 0.6187, Time: 46.7733 
EPOCH:: 6, Validation cost: 102.7946, Validation F1: 0.6420, Time: 46.7233 
EPOCH:: 7, Validation cost: 99.0296, Validation F1: 0.6481, Time: 46.7316 
EPOCH:: 8, Validation cost: 96.4291, Validation F1: 0.6651, Time: 46.7463 
EPOCH:: 9, Validation cost: 95.9639, Validation F1: 0.6744, Time: 46.7755 
EPOCH:: 10, Validation cost: 93.5677, Validation F1: 0.6835, Time: 46.7870 
EPOCH:: 11, Validation cost: 96.9693, Validation F1: 0.6874, Time: 46.7355 
EPOCH:: 12, Validation cost: 102.8285, Validation F1: 0.6815, Time: 46.7549 
EPOCH:: 13, Validation cost: 103.0518, Validation F1: 0.6919, Time: 46.7599 
EPOCH:: 14, Validation cost: 108.0494, Validation F1: 0.6936, Time: 46.7504 
EPOCH:: 15, Validation cost: 112.1943, Validation F1: 0.6946, Time: 46.7492 
EPOCH:: 16, Validation cost: 118.9837, Validation F1: 0.6900, Time: 46.7499 
EPOCH:: 17, Validation cost: 121.1375, Validation F1: 0.7013, Time: 46.7507 
EPOCH:: 18, Validation cost: 120.8967, Validation F1: 0.7049, Time: 46.7665 
EPOCH:: 19, Validation cost: 122.7224, Validation F1: 0.7059, Time: 46.7607 
EPOCH:: 20, Validation cost: 129.6555, Validation F1: 0.7007, Time: 46.7525 
EPOCH:: 21, Validation cost: 135.9181, Validation F1: 0.6953, Time: 46.7742 
EPOCH:: 22, Validation cost: 132.2871, Validation F1: 0.7037, Time: 46.7667 
EPOCH:: 23, Validation cost: 135.7320, Validation F1: 0.7082, Time: 46.7416 
EPOCH:: 24, Validation cost: 137.8417, Validation F1: 0.7029, Time: 46.7333 
EPOCH:: 25, Validation cost: 134.3079, Validation F1: 0.7030, Time: 46.7911 
EPOCH:: 26, Validation cost: 144.0248, Validation F1: 0.7008, Time: 46.7521 
EPOCH:: 27, Validation cost: 143.9806, Validation F1: 0.7106, Time: 46.7227 
EPOCH:: 28, Validation cost: 152.8987, Validation F1: 0.7049, Time: 46.7420 
EPOCH:: 29, Validation cost: 146.6092, Validation F1: 0.7072, Time: 46.7570 
EPOCH:: 30, Validation cost: 145.0594, Validation F1: 0.7131, Time: 46.7629 
EPOCH:: 31, Validation cost: 147.1285, Validation F1: 0.7081, Time: 46.7685 
EPOCH:: 32, Validation cost: 151.7631, Validation F1: 0.7042, Time: 46.7374 
EPOCH:: 33, Validation cost: 151.6139, Validation F1: 0.7074, Time: 46.7524 
EPOCH:: 34, Validation cost: 163.2192, Validation F1: 0.7042, Time: 46.7550 
EPOCH:: 35, Validation cost: 153.5947, Validation F1: 0.7026, Time: 46.7444 
EPOCH:: 36, Validation cost: 153.9162, Validation F1: 0.7023, Time: 46.7821 
EPOCH:: 37, Validation cost: 166.0017, Validation F1: 0.7081, Time: 46.7623 
EPOCH:: 38, Validation cost: 155.1571, Validation F1: 0.7133, Time: 46.7564 
EPOCH:: 39, Validation cost: 156.5696, Validation F1: 0.7107, Time: 46.7547 
EPOCH:: 40, Validation cost: 154.4392, Validation F1: 0.7179, Time: 46.7604 
EPOCH:: 41, Validation cost: 156.8298, Validation F1: 0.7092, Time: 46.7748 
EPOCH:: 42, Validation cost: 163.9109, Validation F1: 0.7062, Time: 46.7550 
EPOCH:: 43, Validation cost: 161.3623, Validation F1: 0.7115, Time: 46.7746 
EPOCH:: 44, Validation cost: 169.8499, Validation F1: 0.7075, Time: 46.7609 
EPOCH:: 45, Validation cost: 163.2900, Validation F1: 0.7166, Time: 46.7533 
EPOCH:: 46, Validation cost: 163.6826, Validation F1: 0.7174, Time: 46.7523 
EPOCH:: 47, Validation cost: 168.3690, Validation F1: 0.7198, Time: 46.7822 
EPOCH:: 48, Validation cost: 170.2079, Validation F1: 0.7172, Time: 46.7467 
EPOCH:: 49, Validation cost: 163.5208, Validation F1: 0.7114, Time: 46.7733 
EPOCH:: 50, Validation cost: 170.2242, Validation F1: 0.7208, Time: 46.7665 
EPOCH:: 51, Validation cost: 171.1525, Validation F1: 0.7178, Time: 46.7441 
EPOCH:: 52, Validation cost: 181.1200, Validation F1: 0.7139, Time: 46.7955 
EPOCH:: 53, Validation cost: 167.4160, Validation F1: 0.7209, Time: 46.8222 
EPOCH:: 54, Validation cost: 183.6858, Validation F1: 0.7113, Time: 46.7994 
EPOCH:: 55, Validation cost: 171.7689, Validation F1: 0.7140, Time: 46.7536 
EPOCH:: 56, Validation cost: 165.7668, Validation F1: 0.7264, Time: 46.7570 
EPOCH:: 57, Validation cost: 175.4344, Validation F1: 0.7167, Time: 46.7455 
EPOCH:: 58, Validation cost: 158.7677, Validation F1: 0.7356, Time: 46.7647 
EPOCH:: 59, Validation cost: 183.5851, Validation F1: 0.7147, Time: 46.7984 
