EPOCH:: 1, Validation cost: 158.0639, Validation F1: 0.4070, Time: 44.9804 
EPOCH:: 2, Validation cost: 146.3814, Validation F1: 0.4432, Time: 43.1671 
EPOCH:: 3, Validation cost: 127.8043, Validation F1: 0.5282, Time: 43.2119 
EPOCH:: 4, Validation cost: 121.0548, Validation F1: 0.5539, Time: 43.3005 
EPOCH:: 5, Validation cost: 109.5632, Validation F1: 0.6114, Time: 43.2741 
EPOCH:: 6, Validation cost: 107.0307, Validation F1: 0.6238, Time: 43.2679 
EPOCH:: 7, Validation cost: 102.0306, Validation F1: 0.6327, Time: 43.2658 
EPOCH:: 8, Validation cost: 96.5770, Validation F1: 0.6632, Time: 43.2936 
EPOCH:: 9, Validation cost: 91.5326, Validation F1: 0.6787, Time: 43.3240 
EPOCH:: 10, Validation cost: 91.9611, Validation F1: 0.6865, Time: 43.2769 
EPOCH:: 11, Validation cost: 93.5026, Validation F1: 0.6908, Time: 43.3185 
EPOCH:: 12, Validation cost: 92.8476, Validation F1: 0.6957, Time: 43.2872 
EPOCH:: 13, Validation cost: 91.0572, Validation F1: 0.7105, Time: 43.2713 
EPOCH:: 14, Validation cost: 94.0541, Validation F1: 0.7077, Time: 43.3204 
EPOCH:: 15, Validation cost: 101.2413, Validation F1: 0.6975, Time: 43.2859 
EPOCH:: 16, Validation cost: 104.6068, Validation F1: 0.7017, Time: 43.2589 
EPOCH:: 17, Validation cost: 108.1301, Validation F1: 0.7054, Time: 43.2754 
EPOCH:: 18, Validation cost: 108.7296, Validation F1: 0.7029, Time: 43.2627 
EPOCH:: 19, Validation cost: 115.0007, Validation F1: 0.7080, Time: 43.2768 
EPOCH:: 20, Validation cost: 120.8028, Validation F1: 0.7032, Time: 43.2576 
EPOCH:: 21, Validation cost: 121.9131, Validation F1: 0.7079, Time: 43.2716 
EPOCH:: 22, Validation cost: 124.9469, Validation F1: 0.7039, Time: 43.3306 
EPOCH:: 23, Validation cost: 124.0322, Validation F1: 0.7116, Time: 43.3441 
EPOCH:: 24, Validation cost: 128.1460, Validation F1: 0.7126, Time: 43.5748 
EPOCH:: 25, Validation cost: 138.5942, Validation F1: 0.7005, Time: 43.3695 
EPOCH:: 26, Validation cost: 135.0851, Validation F1: 0.7080, Time: 43.2850 
EPOCH:: 27, Validation cost: 141.6654, Validation F1: 0.7075, Time: 43.4015 
EPOCH:: 28, Validation cost: 138.9509, Validation F1: 0.7104, Time: 43.6961 
EPOCH:: 29, Validation cost: 137.2724, Validation F1: 0.7077, Time: 43.4454 
EPOCH:: 30, Validation cost: 138.6608, Validation F1: 0.7113, Time: 43.6376 
EPOCH:: 31, Validation cost: 141.8212, Validation F1: 0.7150, Time: 43.5177 
EPOCH:: 32, Validation cost: 141.7863, Validation F1: 0.7193, Time: 43.7021 
EPOCH:: 33, Validation cost: 145.3063, Validation F1: 0.7104, Time: 43.7194 
EPOCH:: 34, Validation cost: 156.7825, Validation F1: 0.7069, Time: 43.6874 
EPOCH:: 35, Validation cost: 147.0473, Validation F1: 0.7173, Time: 43.6587 
EPOCH:: 36, Validation cost: 149.2336, Validation F1: 0.7159, Time: 43.5935 
EPOCH:: 37, Validation cost: 155.2822, Validation F1: 0.7107, Time: 43.6567 
EPOCH:: 38, Validation cost: 150.7064, Validation F1: 0.7144, Time: 43.7456 
EPOCH:: 39, Validation cost: 156.7545, Validation F1: 0.7150, Time: 43.4716 
EPOCH:: 40, Validation cost: 155.2314, Validation F1: 0.7227, Time: 43.3778 
EPOCH:: 41, Validation cost: 149.1176, Validation F1: 0.7170, Time: 43.5361 
EPOCH:: 42, Validation cost: 157.5631, Validation F1: 0.7113, Time: 43.3437 
EPOCH:: 43, Validation cost: 156.9462, Validation F1: 0.7289, Time: 43.5157 
EPOCH:: 44, Validation cost: 155.9957, Validation F1: 0.7257, Time: 43.3536 
EPOCH:: 45, Validation cost: 162.8291, Validation F1: 0.7149, Time: 43.5962 
EPOCH:: 46, Validation cost: 158.7644, Validation F1: 0.7208, Time: 43.4989 
EPOCH:: 47, Validation cost: 165.2416, Validation F1: 0.7163, Time: 43.5961 
EPOCH:: 48, Validation cost: 156.9160, Validation F1: 0.7270, Time: 43.5768 
EPOCH:: 49, Validation cost: 163.0957, Validation F1: 0.7126, Time: 43.3446 
EPOCH:: 50, Validation cost: 160.9613, Validation F1: 0.7222, Time: 43.3164 
EPOCH:: 51, Validation cost: 160.1118, Validation F1: 0.7181, Time: 43.2981 
EPOCH:: 52, Validation cost: 160.5898, Validation F1: 0.7255, Time: 43.5485 
EPOCH:: 53, Validation cost: 173.4787, Validation F1: 0.7184, Time: 43.5157 
EPOCH:: 54, Validation cost: 167.1407, Validation F1: 0.7250, Time: 43.4477 
EPOCH:: 55, Validation cost: 168.6899, Validation F1: 0.7219, Time: 44.1013 
EPOCH:: 56, Validation cost: 164.4437, Validation F1: 0.7219, Time: 43.9747 
