EPOCH:: 1, Validation cost: 196.6693, Validation F1: 0.2462 
EPOCH:: 2, Validation cost: 149.9840, Validation F1: 0.4351 
EPOCH:: 3, Validation cost: 136.4614, Validation F1: 0.5013 
EPOCH:: 4, Validation cost: 123.6783, Validation F1: 0.5498 
EPOCH:: 5, Validation cost: 114.8919, Validation F1: 0.5838 
EPOCH:: 6, Validation cost: 107.2957, Validation F1: 0.6097 
EPOCH:: 7, Validation cost: 101.0995, Validation F1: 0.6361 
EPOCH:: 8, Validation cost: 95.2156, Validation F1: 0.6594 
EPOCH:: 9, Validation cost: 89.8930, Validation F1: 0.6823 
EPOCH:: 10, Validation cost: 89.0811, Validation F1: 0.6808 
EPOCH:: 11, Validation cost: 84.5166, Validation F1: 0.7098 
EPOCH:: 12, Validation cost: 83.7724, Validation F1: 0.7110 
EPOCH:: 13, Validation cost: 80.2932, Validation F1: 0.7246 
EPOCH:: 14, Validation cost: 83.1510, Validation F1: 0.7283 
EPOCH:: 15, Validation cost: 83.3675, Validation F1: 0.7344 
EPOCH:: 16, Validation cost: 84.4550, Validation F1: 0.7311 
EPOCH:: 17, Validation cost: 85.0987, Validation F1: 0.7408 
EPOCH:: 18, Validation cost: 90.6195, Validation F1: 0.7279 
EPOCH:: 19, Validation cost: 94.6782, Validation F1: 0.7363 
EPOCH:: 20, Validation cost: 94.5674, Validation F1: 0.7349 
EPOCH:: 21, Validation cost: 98.9552, Validation F1: 0.7402 
EPOCH:: 22, Validation cost: 95.4761, Validation F1: 0.7440 
EPOCH:: 23, Validation cost: 102.2690, Validation F1: 0.7397 
EPOCH:: 24, Validation cost: 107.8100, Validation F1: 0.7360 
EPOCH:: 25, Validation cost: 111.6236, Validation F1: 0.7400 
EPOCH:: 26, Validation cost: 108.0443, Validation F1: 0.7402 
EPOCH:: 27, Validation cost: 109.8383, Validation F1: 0.7415 
EPOCH:: 28, Validation cost: 106.9352, Validation F1: 0.7502 
EPOCH:: 29, Validation cost: 112.8443, Validation F1: 0.7483 
EPOCH:: 30, Validation cost: 111.4456, Validation F1: 0.7453 
