EPOCH:: 1, Validation cost: 106.9029, Validation F1: 0.6102 
EPOCH:: 2, Validation cost: 90.6263, Validation F1: 0.6785 
EPOCH:: 3, Validation cost: 67.8226, Validation F1: 0.7554 
EPOCH:: 4, Validation cost: 61.2012, Validation F1: 0.7864 
EPOCH:: 5, Validation cost: 55.9454, Validation F1: 0.8057 
EPOCH:: 6, Validation cost: 56.3710, Validation F1: 0.8085 
EPOCH:: 7, Validation cost: 57.6439, Validation F1: 0.8092 
EPOCH:: 8, Validation cost: 62.4074, Validation F1: 0.8073 
EPOCH:: 9, Validation cost: 64.2960, Validation F1: 0.8135 
EPOCH:: 10, Validation cost: 63.9536, Validation F1: 0.8180 
EPOCH:: 11, Validation cost: 69.0946, Validation F1: 0.8188 
EPOCH:: 12, Validation cost: 72.9840, Validation F1: 0.8218 
EPOCH:: 13, Validation cost: 74.9153, Validation F1: 0.8184 
EPOCH:: 14, Validation cost: 75.4882, Validation F1: 0.8233 
EPOCH:: 15, Validation cost: 86.7854, Validation F1: 0.8102 
EPOCH:: 16, Validation cost: 85.3784, Validation F1: 0.8160 
EPOCH:: 17, Validation cost: 82.3226, Validation F1: 0.8236 
EPOCH:: 18, Validation cost: 87.3241, Validation F1: 0.8182 
EPOCH:: 19, Validation cost: 83.1530, Validation F1: 0.8258 
EPOCH:: 20, Validation cost: 82.5052, Validation F1: 0.8315 
EPOCH:: 21, Validation cost: 94.5232, Validation F1: 0.8216 
EPOCH:: 22, Validation cost: 89.9413, Validation F1: 0.8189 
EPOCH:: 23, Validation cost: 98.7982, Validation F1: 0.8108 
EPOCH:: 24, Validation cost: 99.4691, Validation F1: 0.8148 
EPOCH:: 25, Validation cost: 96.6712, Validation F1: 0.8232 
EPOCH:: 26, Validation cost: 102.1423, Validation F1: 0.8177 
EPOCH:: 27, Validation cost: 94.8002, Validation F1: 0.8362 
EPOCH:: 28, Validation cost: 102.2761, Validation F1: 0.8211 
EPOCH:: 29, Validation cost: 107.3305, Validation F1: 0.8123 
EPOCH:: 30, Validation cost: 97.8156, Validation F1: 0.8244 
EPOCH:: 31, Validation cost: 102.7379, Validation F1: 0.8252 
EPOCH:: 32, Validation cost: 94.3886, Validation F1: 0.8272 
EPOCH:: 33, Validation cost: 96.5763, Validation F1: 0.8344 
EPOCH:: 34, Validation cost: 113.4053, Validation F1: 0.8184 
EPOCH:: 35, Validation cost: 104.3990, Validation F1: 0.8237 
EPOCH:: 36, Validation cost: 106.7269, Validation F1: 0.8186 
EPOCH:: 37, Validation cost: 107.0378, Validation F1: 0.8284 
EPOCH:: 38, Validation cost: 106.2673, Validation F1: 0.8251 
EPOCH:: 39, Validation cost: 102.6200, Validation F1: 0.8250 
EPOCH:: 40, Validation cost: 103.3386, Validation F1: 0.8259 
EPOCH:: 41, Validation cost: 111.0882, Validation F1: 0.8213 
EPOCH:: 42, Validation cost: 106.2784, Validation F1: 0.8326 
EPOCH:: 43, Validation cost: 107.9203, Validation F1: 0.8315 
EPOCH:: 44, Validation cost: 104.7858, Validation F1: 0.8276 
EPOCH:: 45, Validation cost: 115.5308, Validation F1: 0.8218 
EPOCH:: 46, Validation cost: 110.8486, Validation F1: 0.8260 
EPOCH:: 47, Validation cost: 128.9573, Validation F1: 0.8165 
EPOCH:: 48, Validation cost: 112.5885, Validation F1: 0.8271 
