EPOCH:: 1, Validation cost: 1331.6604, Validation F1: 0.5182 
EPOCH:: 2, Validation cost: 1125.4437, Validation F1: 0.5962 
EPOCH:: 3, Validation cost: 889.2147, Validation F1: 0.6949 
EPOCH:: 4, Validation cost: 738.0467, Validation F1: 0.7465 
EPOCH:: 5, Validation cost: 699.1352, Validation F1: 0.7542 
EPOCH:: 6, Validation cost: 633.5110, Validation F1: 0.7857 
EPOCH:: 7, Validation cost: 702.8909, Validation F1: 0.7691 
EPOCH:: 8, Validation cost: 669.9909, Validation F1: 0.7894 
EPOCH:: 9, Validation cost: 703.4399, Validation F1: 0.7957 
EPOCH:: 10, Validation cost: 663.5670, Validation F1: 0.8113 
EPOCH:: 11, Validation cost: 678.0516, Validation F1: 0.8098 
EPOCH:: 12, Validation cost: 775.2762, Validation F1: 0.8021 
EPOCH:: 13, Validation cost: 833.3806, Validation F1: 0.8011 
EPOCH:: 14, Validation cost: 763.5141, Validation F1: 0.8087 
EPOCH:: 15, Validation cost: 808.3429, Validation F1: 0.8131 
EPOCH:: 16, Validation cost: 943.2928, Validation F1: 0.7949 
EPOCH:: 17, Validation cost: 976.1063, Validation F1: 0.8002 
EPOCH:: 18, Validation cost: 1014.2613, Validation F1: 0.7973 
EPOCH:: 19, Validation cost: 992.1611, Validation F1: 0.8103 
EPOCH:: 20, Validation cost: 927.0778, Validation F1: 0.8097 
EPOCH:: 21, Validation cost: 944.7263, Validation F1: 0.8134 
EPOCH:: 22, Validation cost: 974.4234, Validation F1: 0.8062 
EPOCH:: 23, Validation cost: 1117.6222, Validation F1: 0.8050 
EPOCH:: 24, Validation cost: 1147.1783, Validation F1: 0.8074 
EPOCH:: 25, Validation cost: 1203.0655, Validation F1: 0.7991 
EPOCH:: 26, Validation cost: 1141.7475, Validation F1: 0.7984 
EPOCH:: 27, Validation cost: 998.0076, Validation F1: 0.8164 
EPOCH:: 28, Validation cost: 1091.1247, Validation F1: 0.8142 
EPOCH:: 29, Validation cost: 1193.6882, Validation F1: 0.8070 
EPOCH:: 30, Validation cost: 1163.2205, Validation F1: 0.8115 
EPOCH:: 31, Validation cost: 1042.6388, Validation F1: 0.8190 
EPOCH:: 32, Validation cost: 1336.7814, Validation F1: 0.8008 
EPOCH:: 33, Validation cost: 1160.9686, Validation F1: 0.8140 
EPOCH:: 34, Validation cost: 1148.7213, Validation F1: 0.8162 
EPOCH:: 35, Validation cost: 1231.3378, Validation F1: 0.8036 
EPOCH:: 36, Validation cost: 1240.1015, Validation F1: 0.7965 
EPOCH:: 37, Validation cost: 1098.5748, Validation F1: 0.8181 
EPOCH:: 38, Validation cost: 1120.6464, Validation F1: 0.8233 
EPOCH:: 39, Validation cost: 1192.1531, Validation F1: 0.8181 
EPOCH:: 40, Validation cost: 1356.1665, Validation F1: 0.8006 
EPOCH:: 41, Validation cost: 1175.9753, Validation F1: 0.8137 
EPOCH:: 42, Validation cost: 1189.2762, Validation F1: 0.8178 
EPOCH:: 43, Validation cost: 1248.5956, Validation F1: 0.8159 
EPOCH:: 44, Validation cost: 1381.4130, Validation F1: 0.8015 
EPOCH:: 45, Validation cost: 1336.2196, Validation F1: 0.8050 
EPOCH:: 46, Validation cost: 1343.9848, Validation F1: 0.8043 
EPOCH:: 47, Validation cost: 1279.2024, Validation F1: 0.8164 
EPOCH:: 48, Validation cost: 1266.8705, Validation F1: 0.8245 
EPOCH:: 49, Validation cost: 1289.6265, Validation F1: 0.8209 
EPOCH:: 50, Validation cost: 1212.0183, Validation F1: 0.8194 
EPOCH:: 51, Validation cost: 1236.7512, Validation F1: 0.8223 
EPOCH:: 52, Validation cost: 1329.9287, Validation F1: 0.8209 
EPOCH:: 53, Validation cost: 1424.6186, Validation F1: 0.8117 
EPOCH:: 54, Validation cost: 1345.1998, Validation F1: 0.8169 
EPOCH:: 55, Validation cost: 1455.0234, Validation F1: 0.8141 
EPOCH:: 56, Validation cost: 1354.6085, Validation F1: 0.8181 
EPOCH:: 57, Validation cost: 1436.9799, Validation F1: 0.8118 
EPOCH:: 58, Validation cost: 1293.7847, Validation F1: 0.8188 
EPOCH:: 59, Validation cost: 1452.2666, Validation F1: 0.8217 
EPOCH:: 60, Validation cost: 1506.1385, Validation F1: 0.8136 
