EPOCH:: 1, Validation cost: 172.1298, Validation F1: 0.3308 
EPOCH:: 2, Validation cost: 158.7963, Validation F1: 0.3830 
EPOCH:: 3, Validation cost: 141.9066, Validation F1: 0.4655 
EPOCH:: 4, Validation cost: 136.0872, Validation F1: 0.4890 
EPOCH:: 5, Validation cost: 121.3311, Validation F1: 0.5669 
EPOCH:: 6, Validation cost: 120.9745, Validation F1: 0.5700 
EPOCH:: 7, Validation cost: 113.6349, Validation F1: 0.5829 
EPOCH:: 8, Validation cost: 115.0332, Validation F1: 0.5864 
EPOCH:: 9, Validation cost: 102.9318, Validation F1: 0.6331 
EPOCH:: 10, Validation cost: 102.9338, Validation F1: 0.6382 
EPOCH:: 11, Validation cost: 103.7793, Validation F1: 0.6464 
EPOCH:: 12, Validation cost: 100.2189, Validation F1: 0.6510 
EPOCH:: 13, Validation cost: 98.3492, Validation F1: 0.6646 
EPOCH:: 14, Validation cost: 99.4363, Validation F1: 0.6677 
EPOCH:: 15, Validation cost: 101.8246, Validation F1: 0.6623 
EPOCH:: 16, Validation cost: 102.0835, Validation F1: 0.6705 
EPOCH:: 17, Validation cost: 107.3481, Validation F1: 0.6699 
EPOCH:: 18, Validation cost: 108.1404, Validation F1: 0.6707 
EPOCH:: 19, Validation cost: 114.7155, Validation F1: 0.6762 
EPOCH:: 20, Validation cost: 114.9630, Validation F1: 0.6707 
EPOCH:: 21, Validation cost: 117.1526, Validation F1: 0.6832 
EPOCH:: 22, Validation cost: 123.4484, Validation F1: 0.6718 
EPOCH:: 23, Validation cost: 121.6893, Validation F1: 0.6864 
EPOCH:: 24, Validation cost: 128.3693, Validation F1: 0.6853 
EPOCH:: 25, Validation cost: 138.3479, Validation F1: 0.6733 
EPOCH:: 26, Validation cost: 142.0415, Validation F1: 0.6756 
EPOCH:: 27, Validation cost: 134.1789, Validation F1: 0.6762 
EPOCH:: 28, Validation cost: 140.0434, Validation F1: 0.6866 
EPOCH:: 29, Validation cost: 144.3547, Validation F1: 0.6797 
EPOCH:: 30, Validation cost: 141.3534, Validation F1: 0.6842 
EPOCH:: 31, Validation cost: 148.7266, Validation F1: 0.6843 
EPOCH:: 32, Validation cost: 153.0353, Validation F1: 0.6772 
EPOCH:: 33, Validation cost: 149.9838, Validation F1: 0.6790 
EPOCH:: 34, Validation cost: 164.1277, Validation F1: 0.6696 
EPOCH:: 35, Validation cost: 151.6069, Validation F1: 0.6895 
EPOCH:: 36, Validation cost: 171.7145, Validation F1: 0.6743 
EPOCH:: 37, Validation cost: 159.3424, Validation F1: 0.6835 
EPOCH:: 38, Validation cost: 166.7786, Validation F1: 0.6744 
EPOCH:: 39, Validation cost: 162.5907, Validation F1: 0.6848 
EPOCH:: 40, Validation cost: 171.6690, Validation F1: 0.6821 
EPOCH:: 41, Validation cost: 169.0249, Validation F1: 0.6802 
EPOCH:: 42, Validation cost: 165.7949, Validation F1: 0.6873 
EPOCH:: 43, Validation cost: 170.8302, Validation F1: 0.6792 
EPOCH:: 44, Validation cost: 169.0925, Validation F1: 0.6910 
EPOCH:: 45, Validation cost: 167.1522, Validation F1: 0.6830 
EPOCH:: 46, Validation cost: 177.3365, Validation F1: 0.6850 
EPOCH:: 47, Validation cost: 171.1991, Validation F1: 0.6876 
EPOCH:: 48, Validation cost: 173.2284, Validation F1: 0.6857 
EPOCH:: 49, Validation cost: 175.4180, Validation F1: 0.6820 
EPOCH:: 50, Validation cost: 181.3987, Validation F1: 0.6833 
EPOCH:: 51, Validation cost: 175.8276, Validation F1: 0.6853 
EPOCH:: 52, Validation cost: 176.0612, Validation F1: 0.6890 
EPOCH:: 53, Validation cost: 183.3354, Validation F1: 0.6837 
EPOCH:: 54, Validation cost: 172.1884, Validation F1: 0.6926 
EPOCH:: 55, Validation cost: 183.1284, Validation F1: 0.6843 
EPOCH:: 56, Validation cost: 177.1977, Validation F1: 0.6880 
EPOCH:: 57, Validation cost: 179.9895, Validation F1: 0.6840 
EPOCH:: 58, Validation cost: 178.1514, Validation F1: 0.6939 
EPOCH:: 59, Validation cost: 175.5695, Validation F1: 0.6929 
EPOCH:: 60, Validation cost: 190.8902, Validation F1: 0.6925 
EPOCH:: 61, Validation cost: 179.3118, Validation F1: 0.6974 
EPOCH:: 62, Validation cost: 179.8385, Validation F1: 0.6881 
EPOCH:: 63, Validation cost: 184.3796, Validation F1: 0.6940 
EPOCH:: 64, Validation cost: 184.3984, Validation F1: 0.6986 
EPOCH:: 65, Validation cost: 186.1416, Validation F1: 0.6869 
EPOCH:: 66, Validation cost: 191.4953, Validation F1: 0.6911 
EPOCH:: 67, Validation cost: 192.3215, Validation F1: 0.6871 
EPOCH:: 68, Validation cost: 186.2164, Validation F1: 0.6858 
EPOCH:: 69, Validation cost: 186.9327, Validation F1: 0.6939 
EPOCH:: 70, Validation cost: 185.9026, Validation F1: 0.6959 
EPOCH:: 71, Validation cost: 187.0949, Validation F1: 0.6914 
EPOCH:: 72, Validation cost: 191.4836, Validation F1: 0.6991 
EPOCH:: 73, Validation cost: 188.7237, Validation F1: 0.6950 
EPOCH:: 74, Validation cost: 197.7520, Validation F1: 0.6925 
EPOCH:: 75, Validation cost: 190.9104, Validation F1: 0.6980 
EPOCH:: 76, Validation cost: 196.7396, Validation F1: 0.6987 
EPOCH:: 77, Validation cost: 195.9508, Validation F1: 0.6912 
EPOCH:: 78, Validation cost: 196.2951, Validation F1: 0.6975 
EPOCH:: 79, Validation cost: 198.1023, Validation F1: 0.6886 
EPOCH:: 80, Validation cost: 201.7673, Validation F1: 0.6906 
EPOCH:: 81, Validation cost: 190.1897, Validation F1: 0.6984 
EPOCH:: 82, Validation cost: 204.5246, Validation F1: 0.6958 
EPOCH:: 83, Validation cost: 204.1001, Validation F1: 0.6902 
EPOCH:: 84, Validation cost: 200.7135, Validation F1: 0.6912 
EPOCH:: 85, Validation cost: 197.9288, Validation F1: 0.6943 
EPOCH:: 86, Validation cost: 198.3456, Validation F1: 0.6996 
EPOCH:: 87, Validation cost: 205.0713, Validation F1: 0.6902 
EPOCH:: 88, Validation cost: 195.0971, Validation F1: 0.6955 
EPOCH:: 89, Validation cost: 204.6672, Validation F1: 0.6952 
EPOCH:: 90, Validation cost: 208.1234, Validation F1: 0.6913 
EPOCH:: 91, Validation cost: 197.8423, Validation F1: 0.7023 
EPOCH:: 92, Validation cost: 203.7071, Validation F1: 0.6980 
EPOCH:: 93, Validation cost: 209.7845, Validation F1: 0.6902 
EPOCH:: 94, Validation cost: 207.7188, Validation F1: 0.6976 
EPOCH:: 95, Validation cost: 202.2324, Validation F1: 0.6995 
EPOCH:: 96, Validation cost: 199.9335, Validation F1: 0.7009 
EPOCH:: 97, Validation cost: 198.6858, Validation F1: 0.7027 
EPOCH:: 98, Validation cost: 199.3865, Validation F1: 0.7049 
EPOCH:: 99, Validation cost: 207.3884, Validation F1: 0.6971 
EPOCH:: 100, Validation cost: 213.5785, Validation F1: 0.6845 
