EPOCH:: 1, Validation cost: 154.5090, Validation F1: 0.4216 
EPOCH:: 2, Validation cost: 138.4636, Validation F1: 0.4854 
EPOCH:: 3, Validation cost: 119.3956, Validation F1: 0.5649 
EPOCH:: 4, Validation cost: 109.6765, Validation F1: 0.5968 
EPOCH:: 5, Validation cost: 97.3772, Validation F1: 0.6466 
EPOCH:: 6, Validation cost: 92.3496, Validation F1: 0.6657 
EPOCH:: 7, Validation cost: 86.1507, Validation F1: 0.6909 
EPOCH:: 8, Validation cost: 82.7091, Validation F1: 0.7050 
EPOCH:: 9, Validation cost: 84.0736, Validation F1: 0.7152 
EPOCH:: 10, Validation cost: 80.7774, Validation F1: 0.7223 
EPOCH:: 11, Validation cost: 82.7729, Validation F1: 0.7289 
EPOCH:: 12, Validation cost: 84.1875, Validation F1: 0.7251 
EPOCH:: 13, Validation cost: 87.3650, Validation F1: 0.7311 
EPOCH:: 14, Validation cost: 88.2990, Validation F1: 0.7354 
EPOCH:: 15, Validation cost: 91.1273, Validation F1: 0.7411 
EPOCH:: 16, Validation cost: 95.8885, Validation F1: 0.7409 
EPOCH:: 17, Validation cost: 95.5718, Validation F1: 0.7425 
EPOCH:: 18, Validation cost: 96.1251, Validation F1: 0.7380 
EPOCH:: 19, Validation cost: 104.1556, Validation F1: 0.7464 
EPOCH:: 20, Validation cost: 103.2285, Validation F1: 0.7476 
EPOCH:: 21, Validation cost: 103.1697, Validation F1: 0.7495 
EPOCH:: 22, Validation cost: 109.3020, Validation F1: 0.7464 
EPOCH:: 23, Validation cost: 109.1747, Validation F1: 0.7523 
EPOCH:: 24, Validation cost: 110.0186, Validation F1: 0.7457 
EPOCH:: 25, Validation cost: 114.9844, Validation F1: 0.7430 
EPOCH:: 26, Validation cost: 116.6551, Validation F1: 0.7485 
EPOCH:: 27, Validation cost: 115.4306, Validation F1: 0.7523 
EPOCH:: 28, Validation cost: 116.1535, Validation F1: 0.7480 
EPOCH:: 29, Validation cost: 117.5356, Validation F1: 0.7511 
EPOCH:: 30, Validation cost: 125.8801, Validation F1: 0.7503 
EPOCH:: 31, Validation cost: 123.9478, Validation F1: 0.7483 
EPOCH:: 32, Validation cost: 119.3775, Validation F1: 0.7517 
EPOCH:: 33, Validation cost: 123.5479, Validation F1: 0.7474 
EPOCH:: 34, Validation cost: 121.9333, Validation F1: 0.7524 
EPOCH:: 35, Validation cost: 125.8508, Validation F1: 0.7499 
EPOCH:: 36, Validation cost: 129.5246, Validation F1: 0.7508 
EPOCH:: 37, Validation cost: 128.1096, Validation F1: 0.7450 
EPOCH:: 38, Validation cost: 132.4464, Validation F1: 0.7486 
EPOCH:: 39, Validation cost: 135.9818, Validation F1: 0.7434 
EPOCH:: 40, Validation cost: 138.3556, Validation F1: 0.7402 
EPOCH:: 41, Validation cost: 127.2069, Validation F1: 0.7652 
EPOCH:: 42, Validation cost: 128.8737, Validation F1: 0.7574 
EPOCH:: 43, Validation cost: 131.0385, Validation F1: 0.7516 
EPOCH:: 44, Validation cost: 126.6772, Validation F1: 0.7569 
EPOCH:: 45, Validation cost: 134.7313, Validation F1: 0.7562 
EPOCH:: 46, Validation cost: 131.9958, Validation F1: 0.7593 
EPOCH:: 47, Validation cost: 136.0857, Validation F1: 0.7552 
EPOCH:: 48, Validation cost: 134.3548, Validation F1: 0.7608 
EPOCH:: 49, Validation cost: 135.6431, Validation F1: 0.7548 
EPOCH:: 50, Validation cost: 136.8867, Validation F1: 0.7533 
EPOCH:: 51, Validation cost: 140.7689, Validation F1: 0.7457 
EPOCH:: 52, Validation cost: 138.4207, Validation F1: 0.7525 
EPOCH:: 53, Validation cost: 131.7418, Validation F1: 0.7680 
EPOCH:: 54, Validation cost: 140.1425, Validation F1: 0.7557 
EPOCH:: 55, Validation cost: 137.4410, Validation F1: 0.7571 
EPOCH:: 56, Validation cost: 139.0072, Validation F1: 0.7558 
EPOCH:: 57, Validation cost: 133.6383, Validation F1: 0.7672 
EPOCH:: 58, Validation cost: 150.4695, Validation F1: 0.7476 
EPOCH:: 59, Validation cost: 139.9318, Validation F1: 0.7598 
EPOCH:: 60, Validation cost: 143.9265, Validation F1: 0.7589 
EPOCH:: 61, Validation cost: 144.1862, Validation F1: 0.7580 
EPOCH:: 62, Validation cost: 133.7123, Validation F1: 0.7617 
EPOCH:: 63, Validation cost: 136.3314, Validation F1: 0.7607 
EPOCH:: 64, Validation cost: 143.7284, Validation F1: 0.7606 
EPOCH:: 65, Validation cost: 136.7984, Validation F1: 0.7615 
EPOCH:: 66, Validation cost: 137.4895, Validation F1: 0.7657 
EPOCH:: 67, Validation cost: 147.5042, Validation F1: 0.7563 
EPOCH:: 68, Validation cost: 145.1253, Validation F1: 0.7596 
EPOCH:: 69, Validation cost: 138.8738, Validation F1: 0.7645 
EPOCH:: 70, Validation cost: 141.4255, Validation F1: 0.7583 
EPOCH:: 71, Validation cost: 155.3935, Validation F1: 0.7552 
EPOCH:: 72, Validation cost: 147.8865, Validation F1: 0.7611 
EPOCH:: 73, Validation cost: 151.8897, Validation F1: 0.7574 
EPOCH:: 74, Validation cost: 157.1223, Validation F1: 0.7570 
EPOCH:: 75, Validation cost: 149.1991, Validation F1: 0.7578 
EPOCH:: 76, Validation cost: 143.4484, Validation F1: 0.7709 
EPOCH:: 77, Validation cost: 149.7709, Validation F1: 0.7621 
EPOCH:: 78, Validation cost: 147.7414, Validation F1: 0.7633 
EPOCH:: 79, Validation cost: 144.6635, Validation F1: 0.7609 
EPOCH:: 80, Validation cost: 147.9475, Validation F1: 0.7630 
EPOCH:: 81, Validation cost: 154.1508, Validation F1: 0.7699 
EPOCH:: 82, Validation cost: 153.5803, Validation F1: 0.7605 
EPOCH:: 83, Validation cost: 150.4609, Validation F1: 0.7577 
EPOCH:: 84, Validation cost: 158.1003, Validation F1: 0.7579 
EPOCH:: 85, Validation cost: 159.0044, Validation F1: 0.7553 
EPOCH:: 86, Validation cost: 151.0380, Validation F1: 0.7646 
EPOCH:: 87, Validation cost: 150.0401, Validation F1: 0.7669 
EPOCH:: 88, Validation cost: 155.7194, Validation F1: 0.7578 
EPOCH:: 89, Validation cost: 147.5295, Validation F1: 0.7650 
EPOCH:: 90, Validation cost: 147.0535, Validation F1: 0.7706 
EPOCH:: 91, Validation cost: 159.6535, Validation F1: 0.7635 
EPOCH:: 92, Validation cost: 159.7068, Validation F1: 0.7624 
EPOCH:: 93, Validation cost: 150.5021, Validation F1: 0.7654 
EPOCH:: 94, Validation cost: 157.3162, Validation F1: 0.7670 
EPOCH:: 95, Validation cost: 156.7829, Validation F1: 0.7593 
EPOCH:: 96, Validation cost: 147.8523, Validation F1: 0.7681 
EPOCH:: 97, Validation cost: 160.6976, Validation F1: 0.7597 
EPOCH:: 98, Validation cost: 155.1266, Validation F1: 0.7601 
EPOCH:: 99, Validation cost: 154.8161, Validation F1: 0.7668 
EPOCH:: 100, Validation cost: 160.0152, Validation F1: 0.7587 
