EPOCH:: 1, Validation cost: 140.4856, Validation F1: 0.4795, Time: 96.7478 
EPOCH:: 2, Validation cost: 110.3668, Validation F1: 0.5957, Time: 95.7090 
EPOCH:: 3, Validation cost: 91.9590, Validation F1: 0.6610, Time: 95.6441 
EPOCH:: 4, Validation cost: 81.0871, Validation F1: 0.7095, Time: 95.6543 
EPOCH:: 5, Validation cost: 74.5183, Validation F1: 0.7406, Time: 95.6416 
EPOCH:: 6, Validation cost: 70.0128, Validation F1: 0.7537, Time: 95.6770 
EPOCH:: 7, Validation cost: 68.2946, Validation F1: 0.7575, Time: 95.6040 
EPOCH:: 8, Validation cost: 66.1781, Validation F1: 0.7765, Time: 95.6204 
EPOCH:: 9, Validation cost: 71.0512, Validation F1: 0.7751, Time: 95.8790 
EPOCH:: 10, Validation cost: 71.1308, Validation F1: 0.7831, Time: 95.8662 
EPOCH:: 11, Validation cost: 74.0475, Validation F1: 0.7790, Time: 95.6974 
EPOCH:: 12, Validation cost: 82.7620, Validation F1: 0.7795, Time: 95.7862 
EPOCH:: 13, Validation cost: 86.6337, Validation F1: 0.7789, Time: 95.6890 
EPOCH:: 14, Validation cost: 91.9463, Validation F1: 0.7800, Time: 95.6948 
EPOCH:: 15, Validation cost: 105.4786, Validation F1: 0.7670, Time: 95.6446 
EPOCH:: 16, Validation cost: 100.7794, Validation F1: 0.7831, Time: 95.6433 
EPOCH:: 17, Validation cost: 100.0324, Validation F1: 0.7728, Time: 95.6521 
EPOCH:: 18, Validation cost: 95.2772, Validation F1: 0.7816, Time: 95.7832 
EPOCH:: 19, Validation cost: 103.4912, Validation F1: 0.7792, Time: 96.0429 
EPOCH:: 20, Validation cost: 110.1445, Validation F1: 0.7718, Time: 95.6826 
EPOCH:: 21, Validation cost: 105.1418, Validation F1: 0.7861, Time: 95.6750 
EPOCH:: 22, Validation cost: 106.8747, Validation F1: 0.7808, Time: 95.6334 
EPOCH:: 23, Validation cost: 113.1925, Validation F1: 0.7817, Time: 95.6455 
EPOCH:: 24, Validation cost: 116.7233, Validation F1: 0.7746, Time: 95.7164 
EPOCH:: 25, Validation cost: 107.6783, Validation F1: 0.7863, Time: 95.7241 
EPOCH:: 26, Validation cost: 111.1681, Validation F1: 0.7858, Time: 95.6405 
EPOCH:: 27, Validation cost: 110.5535, Validation F1: 0.7894, Time: 95.6697 
EPOCH:: 28, Validation cost: 110.5145, Validation F1: 0.7935, Time: 95.6430 
EPOCH:: 29, Validation cost: 118.2591, Validation F1: 0.7762, Time: 95.6944 
EPOCH:: 30, Validation cost: 112.2967, Validation F1: 0.7851, Time: 95.6630 
