EPOCH:: 1, Validation cost: 112.3387, Validation F1: 0.5936 
EPOCH:: 2, Validation cost: 101.1692, Validation F1: 0.6319 
EPOCH:: 3, Validation cost: 89.8467, Validation F1: 0.6854 
EPOCH:: 4, Validation cost: 98.9160, Validation F1: 0.6825 
EPOCH:: 5, Validation cost: 112.3205, Validation F1: 0.6800 
EPOCH:: 6, Validation cost: 122.1378, Validation F1: 0.6838 
EPOCH:: 7, Validation cost: 132.2505, Validation F1: 0.6871 
EPOCH:: 8, Validation cost: 133.4753, Validation F1: 0.6856 
EPOCH:: 9, Validation cost: 140.0318, Validation F1: 0.6882 
EPOCH:: 10, Validation cost: 144.6141, Validation F1: 0.6833 
EPOCH:: 11, Validation cost: 147.9941, Validation F1: 0.6840 
EPOCH:: 12, Validation cost: 145.8360, Validation F1: 0.6914 
EPOCH:: 13, Validation cost: 151.5861, Validation F1: 0.6877 
EPOCH:: 14, Validation cost: 148.1074, Validation F1: 0.6951 
EPOCH:: 15, Validation cost: 155.1714, Validation F1: 0.6941 
EPOCH:: 16, Validation cost: 150.0539, Validation F1: 0.7010 
EPOCH:: 17, Validation cost: 153.0446, Validation F1: 0.6969 
EPOCH:: 18, Validation cost: 161.1718, Validation F1: 0.6825 
